,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,HISTORY,HORROR,I,MUSIC,MYSTERY,O,ROMANCE,SCI-FI,SHORT,T,THRILLER,WAR
123,La conquista del espacio,(1966–1969),A,50.0,8.4,NaN,84455.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
124,La guerra de las galaxias,(1977),A,121.0,8.6,90.0,1358142.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
125,La lista final,(2022– ),16,55.0,8.0,NaN,86758.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
126,La maldición del hombre lobo,(2022 TV Movie),,52.0,7.2,NaN,48286.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,La memoria de un asesino,(2022),16,114.0,5.7,41.0,22171.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
128,La misteriosa sociedad Benedict,(2021– ),9+,NaN,7.6,NaN,4300.0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
129,La monja guerrera,(2020– ),16,NaN,6.9,NaN,36977.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
130,La mujer rey,(2022),PG-13,135.0,6.7,77.0,32060.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131,La rueda del tiempo,(2021– ),16,60.0,7.1,NaN,104417.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
132,La toma del poder,(I) (2022),16,87.0,5.2,NaN,2483.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
133,Le Mans '66,(2019),7,152.0,8.1,81.0,390417.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
134,Loki,(2021– ),12,53.0,8.2,NaN,312965.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
135,Los Vengadores,(2012),7,143.0,8.0,69.0,1385704.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
136,Los juegos del hambre,(2012),12,142.0,7.2,68.0,916385.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
137,Lou,(I) (2022),16,107.0,6.1,51.0,21794.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
138,"Love, Death & Robots",(2019– ),18,15.0,8.4,NaN,168177.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
139,Mad Max: Furia en la carretera,(2015),16,120.0,8.1,90.0,997379.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
140,Matrix,(1999),18,136.0,8.7,73.0,1902076.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
141,Matrix Resurrections,(2021),16,148.0,5.7,63.0,247694.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
142,Medieval,(2022),R,126.0,5.9,46.0,4478.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
143,Milla 22,(2018),18,94.0,6.1,38.0,80243.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
144,Mob Psycho 100,(2016– ),Not Rated,24.0,8.6,NaN,31843.0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
145,Moonfall,(2022),12,130.0,5.1,41.0,76299.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
146,Morbius,(2022),12,104.0,5.2,35.0,119109.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
147,Mundo extraño,(2022),PG,102.0,NaN,NaN,NaN,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,My Hero Academia,(2016– ),12,24.0,8.4,NaN,61992.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,NCIS: Hawai'i,(2021– ),,43.0,6.4,NaN,5993.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
150,NCIS: Los Ángeles,(2009– ),12,43.0,6.8,NaN,53944.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
151,Nadie,(I) (2021),18,92.0,7.4,64.0,248146.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
152,Navy: Investigación criminal,(2003– ),12,60.0,7.8,NaN,147609.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Noche de paz,(2022),R,101.0,NaN,NaN,NaN,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Obi-Wan Kenobi,(2022),12,NaN,7.1,NaN,187634.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
155,Oblivion,(I) (2013),12,124.0,7.0,54.0,525731.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
156,Old Boy,(2003),18,120.0,8.4,77.0,577408.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
157,One Piece,(1999– ),13,24.0,8.9,NaN,125021.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,One Piece Film Red,(2022),12,115.0,6.9,69.0,6463.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Origen,(2010),12,148.0,8.8,74.0,2334667.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
160,Pennyworth,(2019– ),16,60.0,7.9,NaN,15470.0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Percy Jackson and the Olympians,(2023– ),,60.0,NaN,NaN,NaN,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
162,Person of Interest,(2011–2016),12,43.0,8.5,NaN,176612.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
163,Piratas del Caribe: La maldición de la Perla Negra,(2003),7,143.0,8.1,63.0,1122992.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
164,Poker Face,(2022),,94.0,5.1,NaN,1648.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
165,Ponniyin Selvan: Part One,(2022),,167.0,8.0,NaN,27907.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
166,Predator: La presa,(I) (2022),18,99.0,7.2,71.0,182936.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Prison Break,(2005–2017),13,44.0,8.3,NaN,533773.0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Prodigiosa: Las aventuras de Ladybug,(2015– ),TP,20.0,7.6,NaN,11660.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,R.I.P.D. 2: Rise of the Damned,(2022),PG-13,102.0,4.5,NaN,502.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,R.I.P.D.: Departamento de policía mortal,(2013),12,96.0,5.6,25.0,134384.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
171,RRR,(2022),,187.0,8.0,83.0,115348.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
172,Reacher,(2022– ),16,49.0,8.1,NaN,120504.0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Ready Player One,(2018),7,140.0,7.4,64.0,435127.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
174,Red One,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
175,Rogue One. Una historia de Star Wars,(2016),7,133.0,7.8,65.0,633497.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
176,Roma,(2005–2007),18,52.0,8.7,NaN,172019.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
177,S.W.A.T.: Los hombres de Harrelson,(2017– ),12,43.0,7.1,NaN,24006.0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,SEAL Team,(2017– ),12,43.0,7.7,NaN,26172.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
179,Samaritan,(2022),14,102.0,5.7,45.0,42887.0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
180,See,(2019–2022),16,60.0,7.6,NaN,83962.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
181,Shantaram,(2022– ),18,52.0,7.7,NaN,4669.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Shazam! Fury of the Gods,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
183,She-Hulk: Abogada Hulka,(2022),12,35.0,5.2,NaN,158709.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Sherlock Holmes,(2009),13,128.0,7.6,57.0,633912.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
185,Sin novedad en el frente,(2022),16,148.0,7.9,76.0,58626.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186,Sin tiempo para morir,(2021),12,163.0,7.3,68.0,395777.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
187,Smallville,(2001–2017),7,60.0,7.5,NaN,128364.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Sobredosis,(II) (2022),18,119.0,5.5,NaN,821.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
189,Sombra y hueso,(2021– ),16,60.0,7.6,NaN,84782.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
190,Sonic 2: La película,(2022),7,122.0,6.5,47.0,64784.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
191,Spartacus: Sangre y arena,(2010–2013),18,55.0,8.5,NaN,242504.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
192,Spider-Man,(2002),A,121.0,7.4,73.0,815103.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
193,Spider-Man: No Way Home,(2021),7,148.0,8.3,71.0,743655.0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
194,Spider-Man: Un nuevo universo,(2018),7,117.0,8.4,87.0,522885.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
195,Spiderhead,(2022),16,106.0,5.4,54.0,55076.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
196,Spy x Family,(2022– ),,24.0,8.6,NaN,22872.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
197,Star Trek: Discovery,(2017– ),16,60.0,7.0,NaN,123029.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
198,Star Trek: Espacio Profundo Nueve,(1993–1999),13,45.0,8.1,NaN,63463.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
199,Star Trek: La nueva generación,(1987–1994),7,44.0,8.7,NaN,120721.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
200,Star Trek: Picard,(2020–2023),18,46.0,7.3,NaN,71468.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
201,Star Trek: Strange New Worlds,(2022– ),16,52.0,8.2,NaN,29288.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
202,Star Trek: Voyager,(1995–2001),13,44.0,7.8,NaN,69601.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
203,Star Wars: Las crónicas de Jedi,(2022– ),6+,15.0,8.4,NaN,16193.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
204,Star Wars: The Clone Wars,(2008–2020),7,23.0,8.4,NaN,96983.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
205,Stargate SG-1,(1997–2007),12,44.0,8.4,NaN,93888.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
206,Stargirl,(2020–2022),12,566.0,7.2,NaN,18136.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
207,Starship Troopers (Las brigadas del espacio),(1997),18,129.0,7.3,51.0,296952.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
208,Superdetective en Hollywood,(1984),13,105.0,7.3,66.0,185303.0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
209,Teen Wolf,(2011–2017),16,41.0,7.7,NaN,148454.0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
210,Tenet,(2020),12,150.0,7.3,69.0,499140.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
211,The Acolyte,(2023– ),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
212,The Batman,(2022),12,176.0,7.9,72.0,621620.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,The Boys,(2019– ),16,60.0,8.7,NaN,492618.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,The Equalizer,(2021– ),,43.0,5.3,NaN,13165.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
215,The Flash,(2014–2023),7,43.0,7.6,NaN,345690.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,The Gentlemen: Los señores de la mafia,(2019),16,113.0,7.8,51.0,337011.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
217,The Ghost,(2022),,138.0,5.0,NaN,1765.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
218,The King's Man: La primera misión,(2021),16,131.0,6.3,44.0,145287.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
219,The Last Kingdom,(2015–2022),16,60.0,8.5,NaN,139717.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
220,The Last of Us,(2023– ),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
221,The Mandalorian,(2019– ),12,40.0,8.7,NaN,473924.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
222,The Mummy (La momia),(1999),7,124.0,7.1,48.0,430274.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
223,The Old Man,(2022– ),,61.0,7.7,NaN,34989.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
224,The Punisher,(2017–2019),16,53.0,8.5,NaN,235434.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
225,The Rookie,(2018– ),12,43.0,8.0,NaN,39910.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,The Rookie: Feds,(2022– ),,43.0,4.7,NaN,2303.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
227,The System,(2022),R,97.0,3.7,NaN,459.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,The Umbrella Academy,(2019–2023),16,60.0,7.9,NaN,247213.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,The Winchesters,(2022– ),,42.0,6.5,NaN,4249.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,The Witcher,(2019– ),16,60.0,8.2,NaN,489038.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Thor: Love and Thunder,(2022),12,118.0,6.3,57.0,308095.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Titanes,(I) (2018– ),16,45.0,7.6,NaN,100155.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,Todo a la vez en todas partes,(2022),12,139.0,8.1,81.0,236687.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,Top Gun. Ídolos del aire,(1986),TP,110.0,6.9,50.0,436535.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Top Gun: Maverick,(2022),12,130.0,8.4,78.0,427279.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,Transformers,(2007),7,144.0,7.0,61.0,637744.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
237,Trece vidas,(2022),18,147.0,7.8,66.0,49375.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
238,Turno de día,(2022),16,113.0,6.1,51.0,73012.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
239,Uncharted,(2022),12,116.0,6.3,45.0,200109.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Untitled Indiana Jones Project,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
241,V de Vendetta,(2005),12,132.0,8.2,62.0,1118963.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
242,Vengadores: Endgame,(2019),7,181.0,8.4,78.0,1117454.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Vengadores: Infinity War,(2018),12,149.0,8.4,68.0,1070122.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
244,Vikingos,(2013–2020),18,44.0,8.5,NaN,529974.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Walker,(2021– ),,42.0,6.1,NaN,12149.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
246,Walker: Independence,(2022– ),Not Rated,42.0,6.9,NaN,1454.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
247,Willow,(1988),A,126.0,7.2,47.0,115584.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
248,Willow,(2022– ),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
249,¡Shazam!,(2019),7,132.0,7.0,71.0,336512.0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
