,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,D,DRAMA,E,FAMILY,FANTASY,HORROR,MYSTERY,N,ROMANCE,SCI-FI,SHORT,THRILLER,V,WAR,WESTERN
123,La conquista del espacio,(1966–1969),A,50.0,8.4,NaN,84455.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
124,La costa de los mosquitos,(2021– ),16,60.0,6.9,NaN,12000.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
125,La guerra de las galaxias,(1977),A,121.0,8.6,90.0,1358142.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
126,La maldición del hombre lobo,(2022 TV Movie),,52.0,7.2,NaN,48286.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
127,La materia oscura,(2019–2022),16,60.0,7.8,NaN,64656.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
128,La misteriosa sociedad Benedict,(2021– ),9+,NaN,7.6,NaN,4300.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129,La princesa prometida,(1987),A,98.0,8.0,77.0,427473.0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
130,La rueda del tiempo,(2021– ),16,60.0,7.1,NaN,104417.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131,La sirenita,(2023),,NaN,NaN,NaN,NaN,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
132,"Las crónicas de Narnia: El león, la bruja y el armario",(2005),7,143.0,6.9,75.0,398787.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
133,Legacies,(2018–2022),16,45.0,7.3,NaN,32015.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
134,Lightyear,(2022),A/i,100.0,6.0,60.0,101009.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
135,"Lilo, mi amigo el cocodrilo",(2022),A,106.0,6.3,51.0,2595.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Loki,(2021– ),12,53.0,8.2,NaN,312965.0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
137,Los Goonies,(1985),A,114.0,7.7,62.0,274432.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
138,Los Imperfectos,(2022),16,45.0,6.4,NaN,5132.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
139,Los Vengadores,(2012),7,143.0,8.0,69.0,1385704.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
140,Los juegos del hambre,(2012),12,142.0,7.2,68.0,916385.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
141,Los juegos del hambre: En llamas,(2013),12,146.0,7.5,76.0,664516.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
142,Los tipos malos,(2022),A/i,100.0,6.8,64.0,37549.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Los vigilantes de la playa,(1989–2001),A,60.0,5.4,NaN,28172.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
144,"Love, Death & Robots",(2019– ),18,15.0,8.4,NaN,168177.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
145,Mad Max: Furia en la carretera,(2015),16,120.0,8.1,90.0,997379.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
146,Malditos bastardos,(2009),18,153.0,8.3,69.0,1438612.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
147,Minions: El origen de Gru,(2022),7/i,87.0,6.6,56.0,60990.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
148,Moonfall,(2022),12,130.0,5.1,41.0,76299.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
149,Morbius,(2022),12,104.0,5.2,35.0,119109.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
150,Mundo extraño,(2022),PG,102.0,NaN,NaN,NaN,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,My Hero Academia,(2016– ),12,24.0,8.4,NaN,61992.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Naruto,(2002–2007),13,24.0,8.4,NaN,101861.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
153,Naruto: Shippûden,(2007–2017),13,24.0,8.7,NaN,125849.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
154,Obi-Wan Kenobi,(2022),12,NaN,7.1,NaN,187634.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
155,Oblivion,(I) (2013),12,124.0,7.0,54.0,525731.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
156,One Piece,(1999– ),13,24.0,8.9,NaN,125021.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,One Piece Film Red,(2022),12,115.0,6.9,69.0,6463.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Operación U.N.C.L.E.,(2015),12,116.0,7.2,56.0,308759.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
159,Origen,(2010),12,148.0,8.8,74.0,2334667.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
160,Percy Jackson and the Olympians,(2023– ),,60.0,NaN,NaN,NaN,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
161,Perdidos,(2004–2010),16,44.0,8.3,NaN,552044.0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
162,Pinocho,(I) (2022),12,105.0,5.1,38.0,31235.0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Piratas del Caribe: La maldición de la Perla Negra,(2003),7,143.0,8.1,63.0,1122992.0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
164,Pokémon,(1997– ),A,24.0,7.5,NaN,43376.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
165,Polar Express,(2004),A,100.0,6.6,61.0,208007.0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
166,Predator: La presa,(I) (2022),18,99.0,7.2,71.0,182936.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Prodigiosa: Las aventuras de Ladybug,(2015– ),TP,20.0,7.6,NaN,11660.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Professionals,(2020– ),,48.0,5.4,NaN,1582.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
169,R.I.P.D.: Departamento de policía mortal,(2013),12,96.0,5.6,25.0,134384.0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Ratatouille,(2007),A,111.0,8.1,96.0,732760.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
171,Ready Player One,(2018),7,140.0,7.4,64.0,435127.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
172,Red One,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
173,Regreso al futuro,(1985),A,116.0,8.5,87.0,1197080.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
174,Rick y Morty,(2013– ),18,23.0,9.1,NaN,515661.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Rogue One. Una historia de Star Wars,(2016),7,133.0,7.8,65.0,633497.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
176,S.W.A.T.: Los hombres de Harrelson,(2017– ),12,43.0,7.1,NaN,24006.0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,San Andrés,(2015),12,114.0,6.1,43.0,238536.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
178,Scooby-Doo,(2002),7,89.0,5.2,35.0,114644.0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
179,Shang-Chi y la leyenda de los diez anillos,(2021),12,132.0,7.4,71.0,377512.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
180,Shantaram,(2022– ),18,52.0,7.7,NaN,4669.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Shazam! Fury of the Gods,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,She-Hulk: Abogada Hulka,(2022),12,35.0,5.2,NaN,158709.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Sherlock Holmes,(2009),13,128.0,7.6,57.0,633912.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
184,Sin tiempo para morir,(2021),12,163.0,7.3,68.0,395777.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
185,Smallville,(2001–2017),7,60.0,7.5,NaN,128364.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Solo en casa 2: Perdido en Nueva York,(1992),T,120.0,6.8,46.0,353958.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
187,Sombra y hueso,(2021– ),16,60.0,7.6,NaN,84782.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
188,Sonic 2: La película,(2022),7,122.0,6.5,47.0,64784.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
189,Spartacus: Sangre y arena,(2010–2013),18,55.0,8.5,NaN,242504.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
190,Spider-Man,(2002),A,121.0,7.4,73.0,815103.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
191,Spider-Man: Across the Spider-Verse,(2023),,NaN,NaN,NaN,NaN,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
192,Spider-Man: No Way Home,(2021),7,148.0,8.3,71.0,743655.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
193,Spider-Man: Un nuevo universo,(2018),7,117.0,8.4,87.0,522885.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
194,Star Trek,(2009),12,127.0,7.9,82.0,603984.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
195,Star Trek: Discovery,(2017– ),16,60.0,7.0,NaN,123029.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
196,Star Trek: Espacio Profundo Nueve,(1993–1999),13,45.0,8.1,NaN,63463.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
197,Star Trek: La nueva generación,(1987–1994),7,44.0,8.7,NaN,120721.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
198,Star Trek: Lower Decks,(2020– ),16,25.0,7.5,NaN,18332.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
199,Star Trek: Picard,(2020–2023),18,46.0,7.3,NaN,71468.0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
200,Star Trek: Strange New Worlds,(2022– ),16,52.0,8.2,NaN,29288.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
201,Star Trek: Voyager,(1995–2001),13,44.0,7.8,NaN,69601.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
202,Star Wars: El ascenso de Skywalker,(2019),12,141.0,6.5,53.0,449210.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
203,Star Wars: Las crónicas de Jedi,(2022– ),6+,15.0,8.4,NaN,16193.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
204,Star Wars: The Clone Wars,(2008–2020),7,23.0,8.4,NaN,96983.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Stardust,(2007),7,127.0,7.6,66.0,273381.0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
206,Stargate SG-1,(1997–2007),12,44.0,8.4,NaN,93888.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Stargirl,(2020–2022),12,566.0,7.2,NaN,18136.0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Starship Troopers (Las brigadas del espacio),(1997),18,129.0,7.3,51.0,296952.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
209,Super Mario Bros.: La película,(2023),PG,NaN,NaN,NaN,NaN,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
210,The Acolyte,(2023– ),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
211,The Flash,(2014–2023),7,43.0,7.6,NaN,345690.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
212,The Hunger Games: The Ballad of Songbirds and Snakes,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
213,The King's Man: La primera misión,(2021),16,131.0,6.3,44.0,145287.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
214,The Last of Us,(2023– ),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
215,The Mandalorian,(2019– ),12,40.0,8.7,NaN,473924.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
216,The Mummy (La momia),(1999),7,124.0,7.1,48.0,430274.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
217,The Orville,(2017– ),12,44.0,8.0,NaN,87266.0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
218,The Umbrella Academy,(2019–2023),16,60.0,7.9,NaN,247213.0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,The VelociPastor,(2018),,75.0,5.0,NaN,6444.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
220,The Winchesters,(2022– ),,42.0,6.5,NaN,4249.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
221,The Witcher,(2019– ),16,60.0,8.2,NaN,489038.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Thor: Love and Thunder,(2022),12,118.0,6.3,57.0,308095.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,Tiburón,(1975),14,124.0,8.1,87.0,605038.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
224,Titanes,(I) (2018– ),16,45.0,7.6,NaN,100155.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Todo a la vez en todas partes,(2022),12,139.0,8.1,81.0,236687.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Transformers,(2007),7,144.0,7.0,61.0,637744.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
227,Transformers: Rise of the Beasts,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
228,Trece vidas,(2022),18,147.0,7.8,66.0,49375.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
229,Troll,(2022),,101.0,NaN,NaN,NaN,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
230,Tú a Londres y yo a California,(1998),T,128.0,6.6,64.0,139148.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
231,Uncharted,(2022),12,116.0,6.3,45.0,200109.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Untitled Indiana Jones Project,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
233,Uunchai,(2022),,173.0,8.1,NaN,2854.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
234,Vengadores: Endgame,(2019),7,181.0,8.4,78.0,1117454.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Vengadores: Infinity War,(2018),12,149.0,8.4,68.0,1070122.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
236,Vesper,(2022),,114.0,6.0,70.0,10771.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
237,Vikingos,(2013–2020),18,44.0,8.5,NaN,529974.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Vikingos: Valhalla,(2022– ),,51.0,7.2,NaN,39056.0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
239,Viuda Negra,(2021),12,134.0,6.7,67.0,374979.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
240,Wendell & Wild,(2022),12,105.0,6.5,69.0,5975.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,Willow,(1988),A,126.0,7.2,47.0,115584.0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
242,Willow,(2022– ),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
243,Wonka,(2023),,NaN,NaN,NaN,NaN,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
244,Yo me encargo de la cerveza,(2022),16,126.0,6.8,39.0,14962.0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Zootrópolis,(2016),A/i,108.0,8.0,78.0,497349.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,Zootrópolis+,(2022– ),6+,NaN,6.8,NaN,1444.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
247,¡Canta! 2,(2021),A,110.0,7.4,49.0,68029.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,¡Shazam!,(2019),7,132.0,7.0,71.0,336512.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
249,Érase una vez,(2011–2018),16,60.0,7.7,NaN,224923.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
