,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,HORROR,I,M,MUSIC,MUSICAL,MYSTERY,N,ROMANCE,SCI-FI,SHORT,WAR
122,La fiesta de las salchichas,(2016),16,89.0,6.1,66.0,195450.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
123,La joven Liga de la Justicia,(2010–2022),,23.0,8.7,NaN,41608.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
124,La leyenda de Korra,(2012–2014),12,23.0,8.4,NaN,121964.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
125,La leyenda de Vox Machina,(2022– ),18,30.0,8.4,NaN,24427.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126,La novia cadáver,(2005),7,77.0,7.3,83.0,275027.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
127,La patrulla canina,(2013– ),A,23.0,6.1,NaN,3395.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
128,La peli del fútbol,(2022),7,73.0,3.1,NaN,402.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
129,La princesa Mononoke,(1997),7,134.0,8.4,76.0,393659.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
130,La remesa mala,(2021– ),6+,NaN,7.8,NaN,34194.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,La sirenita,(1989),A,83.0,7.6,88.0,264013.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
132,La tumba de las luciérnagas,(1988),13,89.0,8.5,94.0,276533.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
133,Lightyear,(2022),A/i,100.0,6.0,60.0,101009.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
134,Lilo & Stitch,(2002),A,85.0,7.3,73.0,191848.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
135,"Lilo, mi amigo el cocodrilo",(2022),A,106.0,6.3,51.0,2595.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Little Demon,(2022– ),,26.0,6.7,NaN,2811.0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
137,Lluvia de albóndigas,(2009),A,90.0,6.9,66.0,234039.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Los Increíbles,(2004),A,115.0,8.0,90.0,734588.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
139,Los Increíbles 2,(2018),A,118.0,7.6,80.0,296727.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
140,Los Mitchell contra las máquinas,(2021),7,114.0,7.6,81.0,108271.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
141,Los Simpson,(1989– ),7,22.0,8.7,NaN,406406.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Los minions,(2015),A,91.0,6.4,56.0,239813.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
143,Los mundos de Coraline,(2009),7,100.0,7.7,80.0,230464.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
144,Los tipos malos,(2022),A/i,100.0,6.8,64.0,37549.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,"Love, Death & Robots",(2019– ),18,15.0,8.4,NaN,168177.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
146,Luca,(2021),6+,95.0,7.4,71.0,161980.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
147,Luck,(I) (2022),TP,105.0,6.4,48.0,17658.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
148,Mad God,(2021),,83.0,6.8,80.0,8253.0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
149,Madagascar,(2005),A,86.0,6.9,57.0,404571.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
150,Marcel the Shell with Shoes On,(2021),PG,90.0,7.9,81.0,6800.0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
151,Mascotas,(2016),A/i,87.0,6.5,61.0,203155.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
152,Megamind,(2010),A/i,95.0,7.3,63.0,263077.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
153,Mi vecino Totoro,(1988),A,86.0,8.1,86.0,338554.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
154,Minions: El origen de Gru,(2022),7/i,87.0,6.6,56.0,60990.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Mob Psycho 100,(2016– ),Not Rated,24.0,8.6,NaN,31843.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Monster,(2004–2005),13,24.0,8.7,NaN,31107.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
157,Monster House,(2006),7,91.0,6.6,68.0,121973.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
158,Monstruos University,(2013),A,104.0,7.2,65.0,360315.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
159,"Monstruos, S.A.",(2001),A,92.0,8.1,79.0,905676.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
160,Mulán,(1998),A,88.0,7.6,71.0,288543.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
161,Mundo extraño,(2022),PG,102.0,NaN,NaN,NaN,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,My Hero Academia,(2016– ),12,24.0,8.4,NaN,61992.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Más allá del jardín,(2014),TP,22.0,8.8,NaN,56841.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
164,Naruto,(2002–2007),13,24.0,8.4,NaN,101861.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
165,Naruto: Shippûden,(2007–2017),13,24.0,8.7,NaN,125849.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
166,Neon Genesis Evangelion,(1995–1996),TP,24.0,8.5,NaN,70050.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
167,Ninjago,(2019– ),,11.0,8.0,NaN,1218.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Número 9,(I) (2009),13,79.0,7.0,60.0,141026.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,One Piece,(1999– ),13,24.0,8.9,NaN,125021.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,One Piece Film Red,(2022),12,115.0,6.9,69.0,6463.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,One Punch Man,(2015–2019),12,24.0,8.7,NaN,158599.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
172,Padre Made in USA,(2005– ),16,22.0,7.4,NaN,128245.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Padre de familia,(1999– ),18,22.0,8.2,NaN,338569.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Pantheon,(2022– ),,41.0,8.2,NaN,2099.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
175,Peppa Pig,(2004– ),A/i,9.0,6.3,NaN,5294.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Perfect Blue,(1997),18,81.0,8.0,67.0,77223.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
177,Pesadilla antes de Navidad,(1993),7,76.0,7.9,82.0,339188.0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
178,Phineas y Ferb,(2007–2015),TP,15.0,8.1,NaN,46994.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
179,Pinocho de Guillermo del Toro,(II) (2022),PG,117.0,7.9,86.0,569.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
180,Pocahontas,(I) (1995),T,81.0,6.7,58.0,188308.0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Pokémon,(1997– ),A,24.0,7.5,NaN,43376.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
182,Polar Express,(2004),A,100.0,6.6,61.0,208007.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
183,Primal,(2019– ),12,22.0,8.7,NaN,14969.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
184,Prodigiosa: Las aventuras de Ladybug,(2015– ),TP,20.0,7.6,NaN,11660.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Rango,(2011),A,107.0,7.2,75.0,266633.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Ratatouille,(2007),A,111.0,8.1,96.0,732760.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
187,Raya y el último dragón,(2021),A/i,107.0,7.3,74.0,151000.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
188,Recursos humanos,(2022– ),18,30.0,7.2,NaN,6778.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
189,Red,(2022),9+,100.0,7.0,83.0,118624.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
190,Rick y Morty,(2013– ),18,23.0,9.1,NaN,515661.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Robots,(2005),A,91.0,6.4,64.0,148586.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,"Rudolph, el reno de la nariz roja",(1964 TV Movie),,47.0,8.0,NaN,31889.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Río,(2011),A/i,96.0,6.9,63.0,228764.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Scrooge: A Christmas Carol,(2022),,96.0,NaN,NaN,NaN,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
195,Shrek,(2001),A,90.0,7.9,84.0,675285.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
196,Shrek 2,(2004),A,93.0,7.3,75.0,463117.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
197,Solar Opposites,(2020– ),16,22.0,8.0,NaN,24279.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
198,Sonic the Hedgehog 3,(2024),,NaN,NaN,NaN,NaN,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Sono Bisque Doll wa Koi wo Suru,(2022– ),,24.0,8.1,NaN,7913.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
200,Soul,(2020),A,100.0,8.0,83.0,327379.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
201,South Park,(1997– ),18,22.0,8.7,NaN,368733.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Space Jam: Nuevas leyendas,(2021),7,115.0,4.5,36.0,71889.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Spider-Man: Across the Spider-Verse,(2023),,NaN,NaN,NaN,NaN,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
204,Spider-Man: Un nuevo universo,(2018),7,117.0,8.4,87.0,522885.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
205,Spy x Family,(2022– ),,24.0,8.6,NaN,22872.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Star Trek: Lower Decks,(2020– ),16,25.0,7.5,NaN,18332.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
207,Star Trek: Prodigy,(2021– ),,24.0,7.1,NaN,3118.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
208,Star Wars Rebels,(2014–2018),7,22.0,8.0,NaN,44394.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
209,Star Wars: Las crónicas de Jedi,(2022– ),6+,15.0,8.4,NaN,16193.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
210,Star Wars: The Clone Wars,(2008–2020),7,23.0,8.4,NaN,96983.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Steven Universe,(2013–2020),,11.0,8.2,NaN,34050.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,Super Mario Bros.: La película,(2023),PG,NaN,NaN,NaN,NaN,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Suzume no tojimari,(2022),,122.0,8.2,NaN,279.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Sword Art Online,(2012– ),18,24.0,7.5,NaN,46106.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
215,Tadeo Jones 3. La tabla esmeralda,(2022),A,90.0,6.0,NaN,624.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Tarzán,(1999),A,88.0,7.3,79.0,227396.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Teen Titans,(2003–2006),,30.0,7.9,NaN,32755.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,The Boondocks,(2005–2014),,22.0,8.5,NaN,31288.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
219,The Clown,(2022– ),,NaN,8.0,NaN,5089.0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
220,The Great North,(2021– ),14,21.0,6.6,NaN,4031.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
221,The Legend of Hanuman,(2021– ),,25.0,9.2,NaN,8762.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
222,The Quarry,(2022 Video Game),,NaN,8.1,NaN,2583.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
223,The Wheel of Time: Origins,(2021– ),,3.0,7.0,NaN,12106.0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
224,Tiana y el sapo,(2009),A/i,97.0,7.1,73.0,146201.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
225,Titan A.E.,(2000),A,94.0,6.6,48.0,61689.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Tokyo Revengers,(2021– ),,24.0,8.1,NaN,16686.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Tom y Jerry,(II) (2021),7/i,101.0,5.2,32.0,35461.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Toy Story,(1995),A,81.0,8.3,95.0,989484.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
229,Toy Story 2,(1999),A,92.0,7.9,88.0,580326.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
230,Toy Story 3,(2010),A,103.0,8.3,92.0,833378.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
231,Toy Story 4,(2019),A/i,100.0,7.7,84.0,250261.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
232,Transformadores: Chispa de tierra,(2022– ),,23.0,6.4,NaN,137.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
233,Trolls,(2016),A,92.0,6.4,55.0,82510.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,Ultrasecretos,(2021– ),16,30.0,7.6,NaN,18495.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
235,Un héroe samurái: La leyenda de Hank,(2022),A,98.0,5.7,45.0,4122.0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
236,Up,(2009),A,96.0,8.3,88.0,1039457.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
237,Vaiana,(I) (2016),A/i/fig,107.0,7.6,81.0,335225.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
238,Vinland Saga,(2019– ),Not Rated,24.0,8.8,NaN,38676.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
239,WALL·E,(2008),A,98.0,8.4,95.0,1110745.0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
240,Wendell & Wild,(2022),12,105.0,6.5,69.0,5975.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,Yo soy Groot,(2022– ),12,4.0,6.7,NaN,27223.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
242,Your Name.,(2016),A,106.0,8.4,79.0,266675.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
243,Zootrópolis,(2016),A/i,108.0,8.0,78.0,497349.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Zootrópolis+,(2022– ),6+,NaN,6.8,NaN,1444.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
245,¡Canta!,(2016),A,108.0,7.1,59.0,170801.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
246,¡Canta! 2,(2021),A,110.0,7.4,49.0,68029.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,¡Rompe Ralph!,(2012),A/i,101.0,7.7,72.0,422926.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
248,¿Quién engañó a Roger Rabbit?,(1988),A,104.0,7.7,83.0,202253.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
249,¿Qué pasaría si...?,(2021– ),12,32.0,7.4,NaN,114330.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
