,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,D,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,M,MUSIC,MUSICAL,MYSTERY,O,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER,WAR
123,Los Cazafantasmas,(1984),A,105.0,7.8,71.0,415739.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Los Goldberg,(2013– ),7,22.0,8.1,NaN,37604.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Los Goonies,(1985),A,114.0,7.7,62.0,274432.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
126,Los Simpson,(1989– ),7,22.0,8.7,NaN,406406.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Los tipos malos,(2022),A/i,100.0,6.8,64.0,37549.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Love Actually,(2003),A,135.0,7.6,55.0,480260.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
129,Love Today,(2022),,154.0,9.0,NaN,4179.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130,"Love, Death & Robots",(2019– ),18,15.0,8.4,NaN,168177.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
131,M*A*S*H,(1972–1983),13,25.0,8.4,NaN,57767.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
132,Malcolm,(2000–2006),TP,22.0,8.1,NaN,132030.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Mamíferos,(2022– ),13,30.0,5.1,NaN,1193.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
134,Maple Valley Christmas,(2022 TV Movie),,85.0,6.3,NaN,360.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
135,Matilda,(1996),7,98.0,6.9,72.0,153161.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,"Matilda de Roald Dahl, el musical",(2022),PG,117.0,6.0,67.0,237.0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Minions: El origen de Gru,(2022),7/i,87.0,6.6,56.0,60990.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Mira cómo corren,(2022),12,98.0,6.5,60.0,25286.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
139,Mismatched,(2020– ),12,30.0,5.7,NaN,5135.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
140,Miércoles,(2022– ),,NaN,8.6,NaN,227.0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Mob Psycho 100,(2016– ),Not Rated,24.0,8.6,NaN,31843.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Modern Family,(2009–2020),13,22.0,8.5,NaN,428954.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
143,Mom,(2013–2021),12,30.0,7.3,NaN,35574.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
144,Monica O My Darling,(2022),,129.0,7.7,NaN,5941.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
145,Monk,(2002–2009),13,44.0,8.0,NaN,75874.0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Movida del 76,(1993),18,103.0,7.6,78.0,184916.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Mujeres desesperadas,(2004–2012),12,45.0,7.6,NaN,129291.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
148,Mundo extraño,(2022),PG,102.0,NaN,NaN,NaN,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
149,My Life Is Murder,(2019– ),,60.0,7.5,NaN,3789.0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Mythic Quest: banquete de cuervos,(2020– ),16,30.0,7.8,NaN,24074.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
151,Más allá del universo,(2022),16,126.0,6.5,NaN,1169.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
152,Navidad de golpe,(2022),7,93.0,5.3,39.0,6959.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
153,New Girl,(2011–2018),13,22.0,7.8,NaN,224174.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
154,Next Exit,(2022),,106.0,5.7,59.0,468.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
155,No mires arriba,(2021),16,138.0,7.2,49.0,532078.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
156,Noche de paz,(2022),R,101.0,NaN,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
157,Notting Hill,(1999),T,124.0,7.2,68.0,312360.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
158,One Piece,(1999– ),13,24.0,8.9,NaN,125021.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
159,Orange Is the New Black,(2013–2019),16,59.0,8.1,NaN,302205.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160,Padre Made in USA,(2005– ),16,22.0,7.4,NaN,128245.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Padre de familia,(1999– ),18,22.0,8.2,NaN,338569.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Parks and Recreation,(2009–2015),16,22.0,8.6,NaN,258285.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
163,Phone Bhoot,(2022),,136.0,7.2,NaN,7086.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
164,Pinocho,(I) (2022),12,105.0,5.1,38.0,31235.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
165,Psych,(2006–2014),13,44.0,8.4,NaN,97819.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
166,Puñales por la espalda,(2019),12,130.0,7.9,82.0,621218.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
167,Puñales por la espalda: El misterio de Glass Onion,(2022),PG-13,139.0,8.0,81.0,1453.0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,R.I.P.D. 2: Rise of the Damned,(2022),PG-13,102.0,4.5,NaN,502.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,R.I.P.D.: Departamento de policía mortal,(2013),12,96.0,5.6,25.0,134384.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
170,Raymond & Ray,(2022),16,105.0,6.2,50.0,4277.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Reboot,(2022– ),,30.0,7.5,NaN,4936.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Red One,(2023),,NaN,NaN,NaN,NaN,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
173,Regreso al futuro,(1985),A,116.0,8.5,87.0,1197080.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
174,Resacón en Las Vegas,(2009),18,100.0,7.7,73.0,784029.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Reservation Dogs,(2021– ),18,30.0,8.1,NaN,15626.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Resident Alien,(2021– ),12,44.0,8.1,NaN,40455.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
177,Reunión familiar,(2019–2022),7,28.0,6.5,NaN,2958.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
178,Revancha ya,(2022),16,118.0,6.3,66.0,33453.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
179,Rick y Morty,(2013– ),18,23.0,9.1,NaN,515661.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Rosalina,(2022),16,95.0,6.4,61.0,5255.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
181,Saturday Night Live,(1975– ),,90.0,8.0,NaN,49108.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
182,Schitt's Creek,(2015–2020),12,22.0,8.5,NaN,120948.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
183,Scrubs,(2001–2010),13,22.0,8.4,NaN,256284.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
184,Seinfeld,(1989–1998),13,22.0,8.9,NaN,317705.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Sex Education,(2019– ),16,45.0,8.4,NaN,278649.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
186,Sexo en Nueva York,(1998–2004),16,30.0,7.3,NaN,127315.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
187,Shameless,(2011–2021),18,46.0,8.6,NaN,242471.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Shazam! Fury of the Gods,(2023),,NaN,NaN,NaN,NaN,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
189,She-Hulk: Abogada Hulka,(2022),12,35.0,5.2,NaN,158709.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Solo asesinatos en el edificio,(2021– ),12,30.0,8.1,NaN,100680.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
191,Solo en casa,(1990),A,103.0,7.7,63.0,565797.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
192,Somos los mejores: Una nueva era,(2021– ),6+,40.0,7.4,NaN,5067.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
193,Sonic 2: La película,(2022),7,122.0,6.5,47.0,64784.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,South Park,(1997– ),18,22.0,8.7,NaN,368733.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
195,Spider-Man: Un nuevo universo,(2018),7,117.0,8.4,87.0,522885.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Spy x Family,(2022– ),,24.0,8.6,NaN,22872.0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Suits: La clave del éxito,(2011–2019),13,44.0,8.5,NaN,409598.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Super Mario Bros.: La película,(2023),PG,NaN,NaN,NaN,NaN,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
199,Superdetective en Hollywood,(1984),13,105.0,7.3,66.0,185303.0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Superstore,(2015–2021),16,22.0,7.8,NaN,58100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
201,Sígueme el rollo,(2011),A,117.0,6.4,33.0,245793.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
202,Ted Lasso,(2020– ),12,30.0,8.8,NaN,210220.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
203,The Bear,(2022– ),18,30.0,8.4,NaN,55593.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,The Boys,(2019– ),16,60.0,8.7,NaN,492618.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,The Gentlemen: Los señores de la mafia,(2019),16,113.0,7.8,51.0,337011.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
206,The Good Place,(2016–2020),13,22.0,8.2,NaN,159628.0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
207,The Great,(2020– ),16,45.0,8.2,NaN,42303.0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,The Munsters,(2022),PG,109.0,4.6,57.0,8705.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
209,The Office,(2005–2013),13,22.0,9.0,NaN,591232.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,The Orville,(2017– ),12,44.0,8.0,NaN,87266.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
211,The Rocky Horror Picture Show,(1975),13,100.0,7.4,65.0,153828.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
212,The Umbrella Academy,(2019–2023),16,60.0,7.9,NaN,247213.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
213,The White Lotus,(2021–2022),18,60.0,7.6,NaN,77717.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,This Is Us,(2016–2022),12,45.0,8.7,NaN,143820.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
215,Thor: Love and Thunder,(2022),12,118.0,6.3,57.0,308095.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Todas las criaturas grandes y pequeñas,(2020– ),TP,NaN,8.6,NaN,11499.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Todo a la vez en todas partes,(2022),12,139.0,8.1,81.0,236687.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Todo el mundo quiere a Raymond,(1996–2005),,22.0,7.2,NaN,71374.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Todo en un día,(1986),A,103.0,7.8,61.0,358843.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Trabajo basura,(1999),A,89.0,7.7,68.0,267906.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,Tres anuncios en las afueras,(2017),16,115.0,8.1,88.0,504989.0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Turno de día,(2022),16,113.0,6.1,51.0,73012.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
223,Tusk,(I) (2014),16,102.0,5.3,55.0,54989.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
224,Un chapuzas en casa,(1991–1999),,22.0,7.2,NaN,44584.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Una cuestión de tiempo,(I) (2013),A,123.0,7.8,55.0,350178.0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Una pandilla de pillos,(1994),T,82.0,6.3,45.0,50657.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
227,Una rubia muy legal,(2001),A,96.0,6.4,59.0,219433.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
228,Uno para todas,(2011–2021),TP,30.0,7.5,NaN,34569.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Up in the Air (Amor sin escalas),(I) (2009),7,109.0,7.4,83.0,336829.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
230,Vacaciones en el mar,(1977–1987),,60.0,6.2,NaN,11882.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
231,Vengeance,(II) (2022),R,107.0,6.8,65.0,14848.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
232,Viaje al paraíso,(2022),12,104.0,6.2,50.0,23013.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
233,Vicky Cristina Barcelona,(2008),13,96.0,7.1,70.0,256963.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
234,Weird: The Al Yankovic Story,(2022),14,108.0,7.1,70.0,14159.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
235,Wendell & Wild,(2022),12,105.0,6.5,69.0,5975.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,Wonka,(2023),,NaN,NaN,NaN,NaN,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,Yo me encargo de la cerveza,(2022),16,126.0,6.8,39.0,14962.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
238,Yo nunca,(2020–2023),13,30.0,7.9,NaN,58471.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,Yo y el mundo,(1993–2000),TP,23.0,8.1,NaN,43331.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Young Rock,(2021– ),,NaN,7.9,NaN,17417.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,Zootrópolis,(2016),A/i,108.0,8.0,78.0,497349.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
242,Zootrópolis+,(2022– ),6+,NaN,6.8,NaN,1444.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
243,¡Canta!,(2016),A,108.0,7.1,59.0,170801.0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,¡Canta! 2,(2021),A,110.0,7.4,49.0,68029.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
245,¡Shazam!,(2019),7,132.0,7.0,71.0,336512.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,¡Socorro! Ya es Navidad,(1989),A,97.0,7.5,49.0,188252.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
247,¡Vaya familia Claus!,(2022– ),6+,NaN,6.0,NaN,330.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
248,Ámsterdam,(2022),12,134.0,6.1,48.0,20975.0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
249,Érase una vez en... Hollywood,(2019),16,161.0,7.6,83.0,729018.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
