,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,D,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,M,MUSIC,MUSICAL,MYSTERY,NEWS,O,REALITY-TV,ROMANCE,SHORT,SPORT,THRILLER,U,WAR
0,11 Minutes,(2022),,194.0,7.7,NaN,199.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2000 Mules,(2022),,89.0,5.9,NaN,8582.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,30 for 30,(2009– ),,60.0,8.8,NaN,5068.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,38 at the Garden,(2022),,38.0,7.2,NaN,468.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
4,48 Hours,(1988– ),,60.0,7.4,NaN,2040.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,60 Minutes,(1968– ),,60.0,7.5,NaN,3937.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
6,9 to 5: Days in Porn,(2008),,113.0,6.3,NaN,2159.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,A Tree of Life,(2022),,80.0,6.9,NaN,87.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,A la caza del asesino,(II) (2021– ),16,NaN,7.1,NaN,3745.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
9,"A los gatos, ni tocarlos: Un asesino en Internet",(2019),,187.0,8.0,NaN,54276.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10,AMC Visionaries: Historias de terror de Eli Roth,(2018–2021),16,42.0,8.0,NaN,2291.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Abducted in Plain Sight,(2017),13,91.0,6.8,NaN,19850.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Acosador nocturno: A la caza de un asesino en serie,(2021),16,189.0,7.5,NaN,26480.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
13,Addicted to Sexting,(2015),,80.0,3.9,NaN,824.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,Alienígenas,(2009– ),,42.0,7.1,NaN,11373.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,All That Breathes,(2022),,97.0,7.4,88.0,187.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,All or Nothing: Arsenal,(2022),14,50.0,8.3,NaN,4599.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17,All the Beauty and the Bloodshed,(2022),,113.0,7.8,89.0,239.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,Alone,(2015– ),,44.0,8.4,NaN,5599.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,American Movie,(1999),13,107.0,7.8,84.0,18143.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Anthony Bourdain: Parts Unknown,(2013–2018),,42.0,8.8,NaN,6294.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,Apolo 11,(I) (2019),A,93.0,8.1,88.0,25590.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,"As Above, So Below: The Underworld of 'John Wick'",(2017 Video),,5.0,7.7,NaN,12258.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,Barbarians II,(2007– ),,188.0,7.3,NaN,61.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,Bilo jednom u Hrvatskoj,(2022),,NaN,3.0,NaN,210.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,Black Butterflies,(II) (2022),,120.0,6.4,NaN,17.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Blackfish,(2013),PG-13,83.0,8.1,83.0,68142.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,Brainwashed: Sex-Camera-Power,(2022),,107.0,6.4,61.0,181.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,Buscadores de fantasmas,(2008– ),,45.0,7.3,NaN,9426.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,Cat Daddies,(2022),,89.0,8.3,NaN,58.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,Cazatesoros,(2010– ),,60.0,7.0,NaN,7875.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
31,Chef's Table,(2015–2019),7,50.0,8.5,NaN,15674.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,Comida para Phil,(2018– ),7,60.0,8.2,NaN,5521.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Conversaciones con asesinos: Las cintas de Jeffrey Dahmer,(2022),16,180.0,7.3,NaN,4870.0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Conversaciones con asesinos: Las cintas de John Wayne Gacy,(2022),,183.0,7.1,NaN,9540.0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Conversaciones con asesinos: Las cintas de Ted Bundy,(2019),16,236.0,7.7,NaN,30250.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,Corte de mangas a Wall Street: La saga GameStop,(2022),7,109.0,5.9,NaN,2301.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,Cosmos,(1980),,780.0,9.3,NaN,41206.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,Cosmos: Una odisea en el espacio-tiempo,(2014),TP,557.0,9.3,NaN,121853.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Cosmos: otros mundos,(2020),TP,45.0,9.1,NaN,6541.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,Crímenes imperfectos,(1996–2011),,30.0,8.8,NaN,6514.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Cunk on Earth,(2022– ),,29.0,8.4,NaN,644.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Cómo cambiar tu mente,(2022),16,212.0,7.9,NaN,1988.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dark Side of the Ring,(2019– ),,60.0,8.7,NaN,2991.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,Dateline NBC,(1992– ),,102.0,7.1,NaN,2843.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
45,Dear Zachary: A Letter to a Son About His Father,(2008),,95.0,8.5,82.0,37210.0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Descendientes,(2022),PG,109.0,7.0,88.0,351.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,El Alpinista,(2021),12,92.0,7.9,67.0,9314.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,El amor en el espectro autista,(2019–2021),7,45.0,8.6,NaN,6147.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
49,El amor en el espectro autista: Estados Unidos,(2022– ),7,40.0,8.2,NaN,1395.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
50,El ascenso de los nazis,(2019–2022),,60.0,8.0,NaN,888.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,El caso Watts: El padre homicida,(2020),16,83.0,7.2,67.0,28606.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,El dilema de las redes,(2020),7,94.0,7.6,78.0,82742.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,El equipo redentor,(2022),7,97.0,7.4,76.0,6049.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,El hombre más odiado de internet,(2022),16,162.0,6.8,NaN,6180.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,El juramento,(2020– ),16,60.0,7.1,NaN,5260.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,El misterio de Marilyn Monroe: Las cintas inéditas,(2022),16,101.0,6.2,38.0,4781.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,El mundo en guerra,(1973–1974),,52.0,9.2,NaN,25917.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
58,El niño de mamá,(2022),,102.0,7.5,NaN,215.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,El peor compañero de piso imaginable,(2022– ),16,236.0,7.1,NaN,8183.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
60,El sangriento Imperio romano,(2016–2019),16,48.0,7.0,NaN,7980.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,El sonido de 007,(2022),,88.0,7.5,NaN,1004.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,El timador de Tinder,(2022),12,114.0,7.1,NaN,65170.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,El último baile,(2020),7,491.0,9.1,NaN,121935.0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Ellos no envejecerán,(II) (2018),R,99.0,8.2,91.0,34938.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
65,En la mente de un gato,(2022),7,67.0,6.9,NaN,4268.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66,Escape from Kabul,(2022),,73.0,7.6,NaN,506.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,Eternal Spring,(2022),,86.0,7.1,65.0,484.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
68,Facing Nolan,(2022),,102.0,8.0,73.0,931.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,Fantastic Fungi,(2019),,81.0,7.4,70.0,9142.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,Fire of Love,(2022),7,98.0,7.8,83.0,2258.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
71,Flee,(2021),12,89.0,7.9,91.0,16447.0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Free Solo,(2018),Not Rated,100.0,8.1,83.0,68585.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
73,Friends: The Reunion,(2021 TV Special),3,104.0,8.0,NaN,59601.0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Fugitivo: El curioso caso de Carlos Ghosn,(2022),,95.0,6.5,NaN,261.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
75,Fórmula 1: La emoción de un Grand Prix,(2019– ),12,40.0,8.6,NaN,40285.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,Gabriel Iglesias: Stadium Fluffy,(2022 TV Special),,115.0,7.2,NaN,672.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Good Night Oppy,(2022),PG,105.0,8.6,65.0,56.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78,Grandes diseños,(1999– ),,50.0,8.5,NaN,3207.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
79,Grey Gardens,(1975),,95.0,7.6,82.0,13944.0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Grizzly Man,(2005),13,103.0,7.8,87.0,57858.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,Harry Potter: Regreso a Hogwarts,(2022 TV Special),12/fig,102.0,8.0,NaN,40657.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
82,Hasan Minhaj: The King's Jester,(2022 TV Special),,68.0,7.8,NaN,1535.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
83,Hebrews to Negroes: Wake Up Black America,(2018),,208.0,3.4,NaN,122.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,High: Confessions of an Ibiza Drug Mule,(2021),,30.0,6.1,NaN,527.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Historias de ultratumba,(2005– ),,60.0,7.9,NaN,3246.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
86,Hockeyland,(2021),,108.0,8.5,NaN,72.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
87,Hot Girls Wanted,(2015),,84.0,6.1,NaN,17737.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88,How to with John Wilson,(2020– ),18,30.0,8.7,NaN,8814.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Hunting Bigfoot,(I) (2021),R,86.0,6.2,NaN,84.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Häxan. La brujería a través de los tiempos,(1922),18,91.0,7.6,NaN,14772.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,I Am a Stalker,(2022– ),,50.0,6.5,NaN,144.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
92,"I Love You, You Hate Me",(2022),,111.0,7.1,NaN,310.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93,Iliza Shlesinger: Hot Forever,(2022 TV Special),,68.0,6.7,NaN,799.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
94,In the Court of the Crimson King: King Crimson at 50,(2022),,86.0,8.7,NaN,88.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
95,Indian Predator: Murder in a Courtroom,(2022),,168.0,7.4,NaN,219.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Indian Predator: The Butcher of Delhi,(2022),,125.0,6.0,NaN,2199.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97,Indian Predator: The Diary of a Serial Killer,(2022),,123.0,6.7,NaN,1817.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,Inside Job,(2010),A,109.0,8.2,88.0,75859.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,Inside Look: The People v. O.J. Simpson - American Crime Story,(2016),,5.0,8.4,NaN,26406.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
100,Insondable,(2020),16,90.0,6.5,NaN,1764.0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,"Jackass, la película",(2002),18,85.0,6.6,42.0,95749.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102,James May: Nuestro hombre en...,(2020–2022),,50.0,8.2,NaN,7706.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103,Jerry Lee Lewis: Trouble in Mind,(2022),,73.0,6.8,62.0,19.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104,Jihad Rehab,(2022),,108.0,7.4,NaN,184.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
105,John Wayne Gacy: Devil in Disguise,(2021),,308.0,7.3,NaN,1683.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
106,John Wick: Don't F*#% with John Wick,(2015),,16.0,8.3,NaN,10179.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
107,Kid 90,(2021),,71.0,6.8,67.0,3096.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
108,Killer Sally: La culturista asesina,(2022),16,149.0,7.0,NaN,178.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Kings of Coke,(2022),,83.0,7.3,NaN,17.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,Koyaanisqatsi,(1982),A,86.0,8.2,72.0,38745.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
111,La casa Hammer: Escándalo y perversión,(2022),,167.0,5.7,NaN,1530.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112,La casa de los secretos: Muerte en Burari,(2021),16,135.0,7.4,NaN,10776.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
113,La chica de la foto,(2022),16,101.0,7.2,NaN,16901.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
114,La chica del Vaticano: La desaparición de Emanuela Orlandi,(2022),12,233.0,7.2,NaN,1333.0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,La gran chapuza: Woodstock 1999,(2022),16,142.0,7.4,NaN,16260.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
116,La granja de Clarkson,(2021– ),16,45.0,9.0,NaN,36404.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
117,La guerra de Vietnam,(2017),,990.0,9.1,NaN,24841.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
118,La isla de los lobos costeros,(2022– ),7,45.0,7.9,NaN,329.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,La maldición de Oak Island,(2014– ),12,60.0,6.9,NaN,5710.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,Las peores cárceles del mundo,(2016–2022),16,47.0,7.2,NaN,3212.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
121,Las últimas estrellas de Hollywood,(2022– ),,59.0,8.1,NaN,1077.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Last Flight Home,(2022),,101.0,9.0,74.0,84.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
