,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,D,DRAMA,FAMILY,FANTASY,HISTORY,HORROR,M,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER,WAR,WESTERN
123,La monja guerrera,(2020– ),16,NaN,6.9,NaN,36977.0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,La mujer rey,(2022),PG-13,135.0,6.7,77.0,32060.0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,La playlist,(2022),12,300.0,7.5,NaN,6361.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126,Las amistades peligrosas,(2022– ),18,58.0,5.3,NaN,220.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
127,Las chicas Gilmore,(2000–2007),7,44.0,8.2,NaN,126992.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
128,Let the Right One In,(2022– ),,53.0,7.2,NaN,1619.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
129,Ley y orden,(1990– ),13,45.0,7.8,NaN,39157.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
130,Ley y orden: Unidad de Víctimas Especiales,(1999– ),18,60.0,8.1,NaN,106761.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
131,Licorice Pizza,(2021),12,133.0,7.2,90.0,112075.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
132,Living,(2022),PG-13,102.0,7.6,80.0,1230.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Lopez vs. Lopez,(2022– ),,22.0,5.2,NaN,300.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
134,Los Bridgerton,(2020– ),16,60.0,7.4,NaN,135889.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
135,Los Fabelman,(2022),PG-13,151.0,8.3,86.0,1214.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
136,Los Soprano,(1999–2007),18,55.0,9.2,NaN,396299.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
137,Los asesinatos de Midsomer,(1997– ),12,90.0,7.9,NaN,33606.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
138,Lou,(I) (2022),16,107.0,6.1,51.0,21794.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Lucifer,(2016–2021),12,42.0,8.1,NaN,322957.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
140,M*A*S*H,(1972–1983),13,25.0,8.4,NaN,57767.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
141,Mad Men,(2007–2015),16,47.0,8.7,NaN,238981.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142,Magpie Murders,(2022– ),,45.0,7.4,NaN,2707.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
143,Malditos bastardos,(2009),18,153.0,8.3,69.0,1438612.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
144,Mamíferos,(2022– ),13,30.0,5.1,NaN,1193.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
145,Manifest,(2018– ),12,43.0,7.1,NaN,63544.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
146,Medieval,(2022),R,126.0,5.9,46.0,4478.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
147,Mentes criminales,(2005–2020),13,42.0,8.1,NaN,196969.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
148,Mi policía,(2022),16,113.0,6.5,50.0,9368.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
149,Midsommar,(2019),18,148.0,7.1,72.0,319457.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
150,Mili,(2022),,127.0,8.1,NaN,5930.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
151,Modern Family,(2009–2020),13,22.0,8.5,NaN,428954.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
152,Monica O My Darling,(2022),,129.0,7.7,NaN,5941.0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
153,Muerte en el Nilo,(2022),12,127.0,6.3,52.0,144558.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
154,NCIS: Los Ángeles,(2009– ),12,43.0,6.8,NaN,53944.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Navy: Investigación criminal,(2003– ),12,60.0,7.8,NaN,147609.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
156,New Amsterdam,(2018– ),16,43.0,8.0,NaN,38206.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
157,"No te preocupes, querida",(I) (2022),16,123.0,6.2,48.0,61897.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
158,One Piece,(1999– ),13,24.0,8.9,NaN,125021.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Oppenheimer,(2023),,NaN,NaN,NaN,NaN,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
160,Outlander,(2014– ),16,60.0,8.4,NaN,159777.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
161,Ozark,(2017–2022),16,60.0,8.5,NaN,313810.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
162,Para toda la humanidad,(2019– ),12,60.0,8.0,NaN,42892.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
163,Peaky Blinders,(2013–2022),16,60.0,8.8,NaN,542706.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
164,Pennyworth,(2019– ),16,60.0,7.9,NaN,15470.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
165,Perdidos,(2004–2010),16,44.0,8.3,NaN,552044.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Pinocho de Guillermo del Toro,(II) (2022),PG,117.0,7.9,86.0,569.0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Predator: La presa,(I) (2022),18,99.0,7.2,71.0,182936.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
168,Prison Break,(2005–2017),13,44.0,8.3,NaN,533773.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Pulp Fiction,(1994),18,154.0,8.9,94.0,2037371.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
170,Puñales por la espalda,(2019),12,130.0,7.9,82.0,621218.0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Puñales por la espalda: El misterio de Glass Onion,(2022),PG-13,139.0,8.0,81.0,1453.0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Quantum Leap,(2022– ),,42.0,5.6,NaN,4979.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
173,Reacher,(2022– ),16,49.0,8.1,NaN,120504.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174,S.W.A.T.: Los hombres de Harrelson,(2017– ),12,43.0,7.1,NaN,24006.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,SEAL Team,(2017– ),12,43.0,7.7,NaN,26172.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
176,Sandman,(2022– ),18,45.0,7.7,NaN,136905.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
177,Scrubs,(2001–2010),13,22.0,8.4,NaN,256284.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,See,(2019–2022),16,60.0,7.6,NaN,83962.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
179,Separación,(2022– ),16,55.0,8.7,NaN,112601.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
180,Sex Education,(2019– ),16,45.0,8.4,NaN,278649.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Shameless,(2011–2021),18,46.0,8.6,NaN,242471.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
182,Shantaram,(2022– ),18,52.0,7.7,NaN,4669.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
183,She-Hulk: Abogada Hulka,(2022),12,35.0,5.2,NaN,158709.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
184,Sherlock,(2010–2017),13,88.0,9.1,NaN,921202.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
185,Sin novedad en el frente,(1930),13,152.0,8.1,91.0,62809.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
186,Sin novedad en el frente,(2022),16,148.0,7.9,76.0,58626.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
187,Smallville,(2001–2017),7,60.0,7.5,NaN,128364.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
188,So Help Me Todd,(2022– ),,43.0,7.3,NaN,1439.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Sobrenatural,(2005–2020),12,44.0,8.4,NaN,444143.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
190,Solo asesinatos en el edificio,(2021– ),12,30.0,8.1,NaN,100680.0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Star Wars: Las crónicas de Jedi,(2022– ),6+,15.0,8.4,NaN,16193.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
192,Stranger Things,(2016– ),16,51.0,8.7,NaN,1172600.0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
193,Succession,(2018– ),16,60.0,8.8,NaN,146921.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
194,Suits: La clave del éxito,(2011–2019),13,44.0,8.5,NaN,409598.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
195,Ted Lasso,(2020– ),12,30.0,8.8,NaN,210220.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
196,Tell Me Lies,(2022– ),,49.0,6.6,NaN,2663.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
197,The Batman,(2022),12,176.0,7.9,72.0,621620.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
198,The Bear,(2022– ),18,30.0,8.4,NaN,55593.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
199,The Blacklist,(2013– ),16,43.0,8.0,NaN,248792.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
200,The Boys,(2019– ),16,60.0,8.7,NaN,492618.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,The Calling,(2022– ),,NaN,7.2,NaN,610.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,The Crown,(2016– ),13,58.0,8.7,NaN,211118.0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
203,The Devil's Hour,(2022– ),16,60.0,7.8,NaN,7928.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
204,The English,(2022– ),,51.0,8.1,NaN,3917.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
205,The Expanse,(2015–2022),13,60.0,8.5,NaN,153366.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
206,The Flash,(2014–2023),7,43.0,7.6,NaN,345690.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
207,The Good Doctor,(2017– ),12,41.0,8.1,NaN,94753.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
208,The Good Fight,(2017–2022),16,45.0,8.3,NaN,28197.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,The Last Kingdom,(2015–2022),16,60.0,8.5,NaN,139717.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
210,The Last of Us,(2023– ),,NaN,NaN,NaN,NaN,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,The Morning Show,(I) (2019– ),12,60.0,8.3,NaN,101036.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,The Old Man,(2022– ),,61.0,7.7,NaN,34989.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
213,The Orville,(2017– ),12,44.0,8.0,NaN,87266.0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
214,The Peripheral,(2022– ),16,NaN,8.2,NaN,21524.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
215,The Resident,(2018– ),12,60.0,7.8,NaN,27215.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,The Rookie,(2018– ),12,43.0,8.0,NaN,39910.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
217,The Serpent Queen,(2022),,52.0,7.7,NaN,3464.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,The Sinner,(2017–2021),16,45.0,7.9,NaN,124108.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
219,The Umbrella Academy,(2019–2023),16,60.0,7.9,NaN,247213.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,The Walking Dead,(2010–2022),18,44.0,8.1,NaN,981816.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
221,The Whale,(2022),R,117.0,8.5,65.0,NaN,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,The White Lotus,(2021–2022),18,60.0,7.6,NaN,77717.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,The Winchesters,(2022– ),,42.0,6.5,NaN,4249.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
224,The Wire (Bajo escucha),(2002–2008),18,59.0,9.3,NaN,338602.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
225,The Witcher,(2019– ),16,60.0,8.2,NaN,489038.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
226,This Is Us,(2016–2022),12,45.0,8.7,NaN,143820.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
227,Till - El crimen que lo cambió todo,(2022),PG-13,130.0,7.6,79.0,1829.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
228,Titanes,(I) (2018– ),16,45.0,7.6,NaN,100155.0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Titanic,(1997),13,194.0,7.9,75.0,1166580.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
230,Top Gun. Ídolos del aire,(1986),TP,110.0,6.9,50.0,436535.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
231,Top Gun: Maverick,(2022),12,130.0,8.4,78.0,427279.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,True Blood,(2008–2014),18,55.0,7.9,NaN,245992.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
233,True Detective,(2014–2019),16,55.0,8.9,NaN,568325.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
234,Tulsa King,(2022– ),,NaN,8.4,NaN,1917.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Tár,(2022),R,158.0,8.1,91.0,5060.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
236,Uno de los nuestros,(1990),18,145.0,8.7,90.0,1153487.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,Urgencias,(1994–2009),13,44.0,7.9,NaN,61725.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
238,V de Vendetta,(2005),12,132.0,8.2,62.0,1118963.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
239,Vengadores: Endgame,(2019),7,181.0,8.4,78.0,1117454.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
240,Vicky Cristina Barcelona,(2008),13,96.0,7.1,70.0,256963.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
241,Vigilante,(2022– ),16,332.0,6.5,NaN,48127.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
242,Vikingos,(2013–2020),18,44.0,8.5,NaN,529974.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
243,Watcher,(I) (2022),R,91.0,6.3,72.0,22986.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
244,Westworld,(2016–2022),18,62.0,8.5,NaN,503357.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
245,Yellowstone,(2018– ),16,60.0,8.7,NaN,133571.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
246,You,(2018– ),16,45.0,7.7,NaN,238691.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
247,¡Vaya familia Claus!,(2022– ),6+,NaN,6.0,NaN,330.0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Ámsterdam,(2022),12,134.0,6.1,48.0,20975.0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
249,Érase una vez en... Hollywood,(2019),16,161.0,7.6,83.0,729018.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
