,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,F,FAMILY,FANTASY,HORROR,I,L,M,MUSIC,MUSICAL,ROMANCE,SCI-FI,SHORT,SPORT,WESTERN
0,A Christmas Story Christmas,(2022),PG,NaN,NaN,NaN,NaN,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,A Kismet Christmas,(2022 TV Movie),,84.0,6.7,NaN,246.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Aladdin 2,(2025),,NaN,NaN,NaN,NaN,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3,Aladdín,(1992),A,90.0,8.0,86.0,418119.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,Aladdín,(2019),A,128.0,6.9,53.0,265142.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
5,Alicia en el País de las Maravillas,(I) (2010),7,108.0,6.4,53.0,415043.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6,Animales fantásticos y dónde encontrarlos,(2016),7,132.0,7.2,66.0,474478.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
7,Animales fantásticos: Los crímenes de Grindelwald,(2018),7,134.0,6.5,52.0,282290.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
8,Animales fantásticos: Los secretos de Dumbledore,(2022),7,142.0,6.2,47.0,133824.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
9,Anne with an E,(2017–2019),7,60.0,8.7,NaN,54972.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
10,Annie,(1982),A,126.0,6.6,39.0,45963.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
11,Annie,(2014),A,118.0,5.3,33.0,38220.0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12,Aquellos maravillosos años,(1988–1993),A,22.0,8.4,NaN,38111.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
13,Atlantis: El imperio perdido,(2001),A,95.0,6.9,52.0,120719.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,Avatar: La leyenda de Aang,(2005–2008),10,23.0,9.3,NaN,312208.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Aventuras de Pablito,(1957–1963),,30.0,7.6,NaN,8440.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
16,Batman: La serie animada,(1992–1995),A,23.0,9.0,NaN,103665.0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,Bichos: Una aventura en miniatura,(I) (1998),A,95.0,7.2,77.0,293269.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,Bluey,(2018– ),TP,7.0,9.7,NaN,9901.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Bob Esponja,(1999– ),TP,23.0,8.2,NaN,98844.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,Buscando a Nemo,(2003),A,100.0,8.2,90.0,1038450.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,Cars,(2006),A,117.0,7.2,73.0,420610.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Casa Búho,(2020–2023),TP,22.0,8.3,NaN,11843.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Casper,(1995),A,100.0,6.1,49.0,135573.0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
24,Cats,(2019),A,110.0,2.8,32.0,51541.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
25,Cenicienta,(I) (2015),A,105.0,6.9,67.0,177818.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
26,Cenicienta,(I) (2021),3,113.0,4.3,41.0,42164.0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
27,Charlie y la fábrica de chocolate,(2005),A,115.0,6.7,72.0,479801.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,Cinco en familia,(1994–2000),TP,60.0,6.8,NaN,10471.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
29,City of Ember: En busca de la luz,(2008),A,90.0,6.4,58.0,66472.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
30,Coco,(I) (2017),A,105.0,8.4,81.0,501318.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Cosas de casa,(1989–1998),7,30.0,6.6,NaN,27823.0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,Cómo entrenar a tu dragón,(2010),7/i,98.0,8.1,75.0,736796.0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,DC Liga de Supermascotas,(2022),TP,105.0,7.3,56.0,59215.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Del revés (Inside Out),(I) (2015),A,95.0,8.2,94.0,708825.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,Dentro del laberinto,(1986),A,101.0,7.3,50.0,137946.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
36,Desencantada: Vuelve Giselle,(2022),PG,NaN,NaN,NaN,NaN,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Doctor Who,(1963–1989),,45.0,8.4,NaN,37581.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38,Dragon Ball Super,(2015–2018),12,24.0,8.3,NaN,30450.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,Días felices,(1974–1984),,30.0,7.4,NaN,19098.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
40,E.T. El extraterrestre,(1982),A,115.0,7.9,91.0,408593.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
41,El Espíritu de Bridge Hollow,(2022),12,89.0,5.6,38.0,7313.0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
42,El Grinch,(2000),A,104.0,6.2,46.0,245840.0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
43,El alucinante mundo de Norman,(2012),7/i,92.0,7.0,72.0,103306.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,El castillo ambulante,(2004),7,119.0,8.2,80.0,393163.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
45,El diario de Greg,(2010),A,94.0,6.2,56.0,51702.0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
46,El emperador y sus locuras,(2000),A,78.0,7.4,70.0,204511.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,El gato con botas: El último deseo,(2022),PG,NaN,NaN,NaN,NaN,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,El hogar de Miss Peregrine para niños peculiares,(2016),7,127.0,6.7,57.0,173422.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,El libro de la vida,(2014),7/i,95.0,7.2,67.0,71960.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,El mago de Oz,(1939),A,102.0,8.1,92.0,398950.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
51,El monstruo marino,(2022),7,115.0,7.1,74.0,38828.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,El oso de la casa azul,(1997–2006),,30.0,6.8,NaN,4100.0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
53,El padre de la novia,(1991),T,105.0,6.5,51.0,77694.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
54,El príncipe dragón,(2018– ),7,26.0,8.4,NaN,22984.0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
55,El retorno de las brujas,(1993),7,96.0,6.9,43.0,141290.0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
56,El retorno de las brujas 2,(2022),12,103.0,6.0,56.0,39804.0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
57,El rey león,(1994),A,88.0,8.5,88.0,1050747.0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,El rey león,(2019),A,118.0,6.8,55.0,244745.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,El show de Andy Griffith,(1960–1968),,30.0,8.4,NaN,15119.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,El viaje de Chihiro,(2001),A,125.0,8.6,96.0,756450.0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,Elf,(2003),A,97.0,7.0,64.0,266226.0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
62,Embrujada,(1964–1972),A,25.0,7.6,NaN,21964.0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
63,Encantada: La historia de Giselle,(2007),7,107.0,7.1,75.0,199733.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,Encanto,(2021),A/i/fig,102.0,7.2,75.0,217334.0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
65,Enredados,(2010),A/i,100.0,7.7,71.0,452122.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,Enredos de familia,(1982–1989),,30.0,7.2,NaN,18376.0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
67,Ernest contra los trolls,(1991),,91.0,5.7,38.0,11964.0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
68,Family Law,(2021– ),,60.0,7.1,NaN,1143.0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69,Fantástico Sr. Fox,(2009),A,87.0,7.9,83.0,231817.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,Frankenweenie,(2012),7,87.0,6.9,74.0,108841.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
71,Frozen: El reino del hielo,(I) (2013),A,102.0,7.4,75.0,622811.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Goofy e hijo,(1995),A,78.0,6.9,53.0,55330.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
73,Gravity Falls,(2012–2016),TP,23.0,8.9,NaN,107321.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Gru: Mi villano favorito,(2010),A/i,95.0,7.6,72.0,546602.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
75,Halloweentown 3: Academia de brujas,(2004 TV Movie),,82.0,6.0,NaN,7704.0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
76,Halloweentown: La venganza,(2001 TV Movie),,81.0,6.3,NaN,9464.0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
77,Halloweentown: ¡Qué familia la mía!,(1998 TV Movie),,84.0,6.6,NaN,18685.0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
78,Hannah Montana,(2006–2011),TP,23.0,5.2,NaN,40659.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
79,Harry Potter y el cáliz de fuego,(2005),7,157.0,7.7,81.0,622807.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
80,Harry Potter y el misterio del príncipe,(2009),7,153.0,7.6,78.0,542108.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
81,Harry Potter y el prisionero de Azkaban,(2004),7,142.0,7.9,82.0,630317.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
82,Harry Potter y la Orden del Fénix,(2007),7,138.0,7.5,71.0,578497.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83,Harry Potter y la cámara secreta,(2002),7,161.0,7.4,63.0,631138.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
84,Harry Potter y la piedra filosofal,(2001),A,152.0,7.6,65.0,773799.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
85,Harry Potter y las Reliquias de la Muerte - Parte 1,(2010),7,146.0,7.7,65.0,545734.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
86,Harry Potter y las Reliquias de la Muerte - Parte 2,(2011),7,130.0,8.1,85.0,869614.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
87,Haunted Mansion,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
88,Heartland,(II) (2007– ),,45.0,8.5,NaN,16946.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
89,Historias corrientes,(2009–2017),,23.0,8.5,NaN,45259.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,Historias de Chesapeake,(2016–2022),7,42.0,7.5,NaN,8033.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
91,Historias de Navidad,(1983),A,93.0,7.9,77.0,148200.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,Hook (El capitán Garfio),(1991),A,142.0,6.8,52.0,254861.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93,Hope,(2010–2014),,22.0,8.1,NaN,38092.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
94,Hora de aventuras,(2010–2018),,11.0,8.6,NaN,94970.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
95,Hotel Transilvania,(2012),A/i,91.0,7.0,47.0,256177.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Hotel Transilvania 2,(2015),A,89.0,6.6,44.0,128307.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
97,Hotel Transilvania 3: Unas vacaciones monstruosas,(2018),A,97.0,6.3,54.0,74604.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
98,Hotel Transilvania 4: Transformanía,(2022),7,87.0,6.0,46.0,30591.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,Hércules,(1997),A,93.0,7.3,74.0,231843.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,Ice Age. La edad de hielo,(2002),A,81.0,7.5,61.0,482388.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
101,James y el melocotón gigante,(1996),T,79.0,6.7,78.0,68275.0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
102,Jumanji,(1995),7,104.0,7.0,39.0,345614.0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
103,Karate Kid (El momento de la verdad),(1984),A,126.0,7.3,60.0,226198.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104,Karate Kid III: El desafío final,(1989),A,112.0,5.3,36.0,64312.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
105,Kung Fu Panda,(2008),A,92.0,7.6,74.0,468737.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
106,La bella y la bestia,(1991),T,84.0,8.0,95.0,454008.0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
107,La bella y la bestia,(I) (2017),A/i,129.0,7.1,65.0,308785.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
108,La casa de la pradera,(1974–1983),Not Rated,60.0,7.5,NaN,23762.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
109,La casa del reloj en la pared,(2018),7,105.0,6.0,57.0,52136.0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
110,La doctora Quinn,(1993–1998),,60.0,6.8,NaN,12363.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
111,La familia Addams,(1964–1966),A,30.0,8.0,NaN,18050.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
112,La familia Addams,(2019),7,86.0,5.8,46.0,39741.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
113,La familia Addams 2,(2021),7,93.0,5.4,37.0,12448.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
114,La familia Monster,(1964–1966),,30.0,7.8,NaN,15400.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
115,La historia interminable,(1984),A,102.0,7.3,46.0,145386.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
116,La invención de Hugo,(2011),A,126.0,7.5,83.0,323503.0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
117,La isla de Gílligan,(1964–1967),,30.0,7.4,NaN,15255.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
118,La maldición de las brujas,(1990),A,91.0,6.8,78.0,50905.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
119,La maldición de los hoyos,(2003),7,117.0,7.0,71.0,89976.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,La mansión encantada,(2003),A,99.0,5.1,34.0,49996.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
121,La materia oscura,(2019–2022),16,60.0,7.8,NaN,64360.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
