,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,F,FAMILY,FANTASY,HORROR,I,L,M,MUSIC,MUSICAL,ROMANCE,SCI-FI,SHORT,SPORT,WESTERN
122,La misteriosa sociedad Benedict,(2021– ),9+,NaN,7.6,NaN,4161.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123,La niñera,(1993–1999),7,22.0,7.0,NaN,43880.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
124,La novia cadáver,(2005),7,77.0,7.3,83.0,273984.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
125,La princesa prometida,(1987),A,98.0,8.0,77.0,426956.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
126,La sirenita,(1989),A,83.0,7.6,88.0,263527.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
127,La sirenita,(2023),,NaN,NaN,NaN,NaN,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
128,La telaraña de Carlota,(2006),TP,97.0,6.3,68.0,42868.0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
129,Las brujas de Roald Dahl,(2020),7,106.0,5.3,47.0,41370.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
130,"Las crónicas de Narnia: El león, la bruja y el armario",(2005),7,143.0,6.9,75.0,398145.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
131,Las frikiaventuras de James y Max,(2022– ),,20.0,6.5,NaN,635.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
132,Lightyear,(2022),A/i,100.0,6.0,60.0,99619.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,"Lilo, mi amigo el cocodrilo",(2022),A,106.0,6.3,51.0,2000.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Lopez vs. Lopez,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
135,Los Goonies,(1985),A,114.0,7.7,62.0,273795.0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
136,Los Increíbles,(2004),A,115.0,8.0,90.0,733108.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
137,Los Muppets en Haunted Mansion,(2021 TV Special),,52.0,6.4,NaN,6965.0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
138,Los Walton,(1972–1981),,60.0,7.6,NaN,7872.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
139,Los descendientes,(2015 TV Movie),,112.0,6.2,NaN,20863.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
140,Los minions,(2015),A,91.0,6.4,56.0,239390.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
141,Los mundos de Coraline,(2009),7,100.0,7.7,80.0,229291.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
142,Los tipos malos,(2022),A/i,100.0,6.8,64.0,35942.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Lost in Space,(2018–2021),7,60.0,7.3,NaN,99565.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
144,Luca,(2021),6+,95.0,7.4,71.0,161232.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
145,Luck,(I) (2022),TP,105.0,6.4,48.0,17059.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
146,Malcolm,(2000–2006),TP,22.0,8.1,NaN,131772.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
147,Maléfica,(2014),7,97.0,6.9,56.0,375782.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
148,Marcel the Shell with Shoes On,(2021),PG,90.0,7.9,81.0,6322.0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
149,Mary Poppins,(1964),A,139.0,7.8,88.0,173077.0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
150,Matilda,(1996),7,98.0,6.9,72.0,152625.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
151,"Matilda de Roald Dahl, el musical",(2022),PG,117.0,6.0,67.0,207.0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
152,Megamind,(2010),A/i,95.0,7.3,63.0,262198.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
153,Minions: El origen de Gru,(2022),7/i,87.0,6.6,56.0,59600.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Monster House,(2006),7,91.0,6.6,68.0,121349.0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
155,Monstruos University,(2013),A,104.0,7.2,65.0,359652.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
156,"Monstruos, S.A.",(2001),A,92.0,8.1,79.0,904240.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Ms. Marvel,(2022),7,271.0,6.2,NaN,100283.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Mundo extraño,(2022),PG,NaN,NaN,NaN,NaN,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Más allá del jardín,(2014),TP,22.0,8.8,NaN,56366.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
160,Noche en el museo,(2006),A,108.0,6.4,48.0,348037.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
161,Oni: La leyenda del dios del trueno,(2022),7,167.0,8.3,NaN,452.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Padres forzosos,(1987–1995),7,22.0,6.7,NaN,59112.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
163,Percy Jackson y el ladrón del rayo,(2010),7,118.0,5.8,47.0,189741.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
164,Pesadilla antes de Navidad,(1993),7,76.0,7.9,82.0,337243.0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
165,Peter Pan & Wendy,(2023),PG,NaN,NaN,NaN,NaN,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
166,Peter Pan: La gran aventura,(2003),A,113.0,6.8,64.0,73674.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
167,Pinocho,(I) (2022),12,105.0,5.1,38.0,30414.0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Pinocho de Guillermo del Toro,(II) (2022),,117.0,7.8,93.0,322.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
169,Pokémon,(1997– ),A,24.0,7.5,NaN,43235.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
170,Pokémon: Detective Pikachu,(2019),A,104.0,6.5,53.0,163389.0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
171,Ponniyin Selvan: Part One,(2022),,167.0,8.2,NaN,26026.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
172,Princesa por sorpresa,(2001),A,115.0,6.3,52.0,146624.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
173,Prodigiosa: Las aventuras de Ladybug,(2015– ),TP,20.0,7.6,NaN,11531.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Raksha Bandhan,(2022),12,108.0,5.1,NaN,24191.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
175,Ratatouille,(2007),A,111.0,8.1,96.0,730948.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Raya y el último dragón,(2021),A/i,107.0,7.3,74.0,150460.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
177,Red,(2022),9+,100.0,7.0,83.0,117689.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
178,Regreso a Halloweentown,(2005 TV Movie),,88.0,5.3,NaN,6921.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
179,Reunión familiar,(2019–2022),7,28.0,6.5,NaN,2865.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
180,"Sabrina, cosas de brujas",(1996–2003),7,22.0,6.7,NaN,39382.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
181,Salvados por la campana,(1989–1992),7,30.0,7.1,NaN,35442.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
182,Scooby-Doo,(2002),7,89.0,5.2,35.0,114285.0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
183,Scooby-Doo 2: Desatado,(2004),TP,93.0,5.1,34.0,58433.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
184,Secret Headquarters,(2022),PG,104.0,5.0,47.0,4472.0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
185,Shrek,(2001),A,90.0,7.9,84.0,674069.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
186,Shrek 2,(2004),A,93.0,7.3,75.0,462278.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
187,Siete en el paraíso,(1996–2007),,60.0,5.2,NaN,25763.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
188,Snow White,(2024),,NaN,NaN,NaN,NaN,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
189,Solo en casa,(1990),A,103.0,7.7,63.0,564420.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
190,Somos los mejores,(1992),A,104.0,6.5,46.0,66993.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
191,Sonic 2: La película,(2022),7,122.0,6.5,47.0,63662.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Sonic. La película,(2020),A,99.0,6.5,47.0,139267.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
193,Sonrisas y lágrimas,(1965),A,172.0,8.1,63.0,234045.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
194,Soul,(2020),A,100.0,8.0,83.0,326242.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
195,Spider-Man: Across the Spider-Verse,(2023),,NaN,NaN,NaN,NaN,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
196,Spider-Man: Un nuevo universo,(2018),7,117.0,8.4,87.0,520990.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Spirit Halloween,(2022),,87.0,4.5,48.0,603.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
198,Spirited,(2022),PG-13,127.0,NaN,NaN,NaN,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
199,Spy Kids,(2001),A,88.0,5.6,71.0,118295.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
200,Spy Kids 3: Game Over,(2003),PG,84.0,4.3,57.0,61001.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Star Trek: Prodigy,(2021– ),,24.0,7.0,NaN,3023.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
202,Star Wars Rebels,(2014–2018),7,22.0,8.0,NaN,44126.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
203,Stardust,(2007),7,127.0,7.6,66.0,273097.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
204,Super Mario Bros.,(1993),13,104.0,4.1,35.0,55186.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
205,Super Mario Bros.: La película,(2023),PG,NaN,NaN,NaN,NaN,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Super Nacho,(2006),PG,92.0,5.8,52.0,88270.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
207,The Middle,(2009–2018),7,22.0,7.6,NaN,49884.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
208,The Munsters,(2022),PG,109.0,4.6,57.0,8363.0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
209,The Sandlot: Historia de un verano,(1993),A,101.0,7.8,55.0,92892.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
210,The Santa Clauses,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
211,Tiana y el sapo,(2009),A/i,97.0,7.1,73.0,145691.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
212,Tomorrowland: El mundo del mañana,(2015),7,130.0,6.4,60.0,183162.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
213,Tortugas Ninja,(1990),A,93.0,6.7,51.0,94899.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
214,Toy Story,(1995),A,81.0,8.3,95.0,987978.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
215,Toy Story 3,(2010),A,103.0,8.3,92.0,832280.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
216,Toy Story 4,(2019),A/i,100.0,7.7,84.0,249506.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
217,Tú a Londres y yo a California,(1998),T,128.0,6.6,64.0,138667.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
218,Un chapuzas en casa,(1991–1999),,22.0,7.2,NaN,44453.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
219,Un héroe samurái: La leyenda de Hank,(2022),A,98.0,5.7,45.0,3956.0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
220,Un mundo de fantasía,(1971),A,100.0,7.8,67.0,201977.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
221,Un puente hacia Terabithia,(2007),7,96.0,7.2,74.0,158162.0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
222,Una cenicienta moderna,(2004),PG,95.0,5.9,25.0,88315.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
223,Una pandilla de pillos,(1994),T,82.0,6.3,45.0,50434.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
224,Una serie de catastróficas desdichas,(2017–2019),7,50.0,7.8,NaN,61062.0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
225,Una serie de catastróficas desdichas de Lemony Snicket,(2004),7,108.0,6.8,62.0,210006.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
226,Up,(2009),A,96.0,8.3,88.0,1037859.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
227,Vaiana,(I) (2016),A/i/fig,107.0,7.6,81.0,334250.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
228,Victorious,(2010–2013),TP,30.0,7.0,NaN,25565.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
229,WALL·E,(2008),A,98.0,8.4,95.0,1109137.0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
230,Wallace & Gromit: La maldición de las verduras,(2005),7,85.0,7.5,87.0,136712.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
231,We Need a Little Christmas,(2022 TV Movie),,85.0,6.6,NaN,190.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
232,Wednesday,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
233,Wendell & Wild,(2022),12,105.0,6.6,69.0,3436.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
234,Wicked: Part One,(2024),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
235,Wonder,(I) (2017),A,113.0,7.9,66.0,164625.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
236,Wonka,(2023),,NaN,NaN,NaN,NaN,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
237,Yo y el mundo,(1993–2000),TP,23.0,8.1,NaN,43268.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
238,Z-O-M-B-I-E-S,(2018 TV Movie),9+,94.0,6.0,NaN,5981.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
239,Zombies 3,(2022),9+,88.0,5.4,NaN,2408.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
240,Zootrópolis,(2016),A/i,108.0,8.0,78.0,496113.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
241,iCarly,(2007–2012),TP,30.0,6.7,NaN,39840.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
242,¡Canta!,(2016),A,108.0,7.1,59.0,170152.0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
243,¡Canta! 2,(2021),A,110.0,7.4,49.0,67376.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
244,¡Qué bello es vivir!,(1946),A,130.0,8.6,89.0,453498.0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
245,¡Truco o trato Scooby-Doo!,(2022),10,72.0,5.7,NaN,1222.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
246,¡Vaya Santa Claus!,(1994),T,97.0,6.5,57.0,116401.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
247,¡Vaya vacaciones!,(2006),A,99.0,5.5,33.0,60374.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
248,¿Quién engañó a Roger Rabbit?,(1988),A,104.0,7.7,83.0,201908.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
249,"Ésta es la gran calabaza, Charlie Brown",(1966 TV Movie),,25.0,8.2,NaN,19927.0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
