,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,I,NEWS,O,REALITY-TV,ROMANCE,S,SPORT,T,THRILLER,WAR
125,Killers of the Flower Moon,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
126,Kindred,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
127,Knightfall,(2017–2019),18,60.0,6.8,NaN,20546.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
128,Kurulus: Osman,(2019– ),,120.0,7.5,NaN,9966.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
129,La Emperatriz,(2022– ),,55.0,7.8,NaN,8123.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
130,La batalla de Inglaterra,(1969),18,132.0,6.9,NaN,22851.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
131,La chica del Vaticano: La desaparición de Emanuela Orlandi,(2022),12,233.0,7.2,NaN,1958.0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
132,La dama de oro,(2015),7,109.0,7.3,51.0,59590.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
133,La delgada línea roja,(1998),13,170.0,7.6,78.0,188603.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
134,La emperatriz rebelde,(2022),,113.0,7.0,81.0,1375.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
135,La excavación,(2021),12,112.0,7.1,73.0,75085.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
136,La favorita,(2018),12,119.0,7.5,91.0,200760.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
137,La gran apuesta,(2015),12,130.0,7.8,81.0,430586.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
138,La gran evasión,(1963),18,172.0,8.2,86.0,244937.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
139,La guerra de Charlie Wilson,(2007),13,102.0,7.0,67.0,119160.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
140,La leyenda del samurái: 47 Ronin,(2013),12,128.0,6.2,28.0,161227.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
141,La lista de Schindler,(1993),12,195.0,9.0,94.0,1348061.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
142,La misión,(1986),13,125.0,7.4,55.0,61901.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
143,La muerte de Stalin,(2017),16,107.0,7.2,88.0,103781.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
144,La mujer rey,(2022),PG-13,135.0,6.7,77.0,32060.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
145,La noche más oscura,(2012),16,157.0,7.4,95.0,301791.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
146,La pandilla,(1992),T,121.0,6.9,46.0,21154.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
147,La princesa blanca,(2017),,60.0,7.5,NaN,13242.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
148,La reina blanca,(2013),16,60.0,7.7,NaN,28340.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
149,La vuelta al mundo en 80 días,(2021– ),TP,60.0,7.1,NaN,9760.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
150,Lady Jane,(1986),,136.0,7.1,64.0,6759.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
151,Las amistades peligrosas,(2022– ),18,58.0,5.3,NaN,220.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
152,Las hermanas Bolena,(2008),A,115.0,6.7,50.0,113956.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
153,Last Week Tonight with John Oliver,(2014– ),18,30.0,8.9,NaN,89181.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
154,Lincoln,(2012),7,150.0,7.3,86.0,261332.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
155,Lo imposible,(2012),12,114.0,7.5,73.0,224786.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
156,Los Borgia,(2011–2013),16,50.0,7.9,NaN,51543.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
157,Los Bridgerton,(2020– ),16,60.0,7.4,NaN,135889.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
158,Los Miserables,(2018–2019),,372.0,7.8,NaN,8289.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
159,Los Médici: Señores de Florencia,(2016–2019),18,60.0,7.9,NaN,19531.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
160,Los Tudor,(2007–2010),18,60.0,8.1,NaN,75430.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
161,Los apocalipsis del pasado,(2022– ),7,30.0,8.0,NaN,2082.0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
162,Los archivos del Pentágono,(2017),7,116.0,7.2,83.0,151767.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
163,Los diez mandamientos,(1956),A,220.0,7.9,NaN,71483.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
164,Los misteriosos asesinatos de Miss Fisher,(2012–2015),7,60.0,8.3,NaN,16275.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
165,Los pilares de la Tierra,(2010),,60.0,8.0,NaN,31404.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
166,Los tres mosqueteros,(2011),7,110.0,5.7,35.0,108479.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
167,Macbeth,(I) (2015),16,113.0,6.6,71.0,57228.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
168,Malcolm X,(1992),T,202.0,7.7,73.0,95284.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
169,Marco Polo,(2014–2016),16,60.0,8.0,NaN,73168.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
170,Marea negra,(2016),12,107.0,7.1,68.0,169879.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
171,María Antonieta (Marie Antoinette),(2006),A,123.0,6.5,65.0,112392.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
172,"María, reina de Escocia",(2018),12,124.0,6.3,60.0,51060.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
173,Mayday: Catástrofes aéreas,(2003– ),12,46.0,8.8,NaN,5000.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
174,Medieval,(2022),R,126.0,5.9,46.0,4478.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
175,Megan Leavey,(2017),PG-13,116.0,7.1,66.0,24273.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
176,Midway,(2019),12,138.0,6.7,47.0,86122.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
177,Mr. Wain,(2021),7,111.0,6.8,63.0,14655.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
178,Muhtesem Yüzyil,(2011–2014),,90.0,6.8,NaN,17411.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
179,Múnich,(2005),18,164.0,7.5,74.0,227966.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
180,Múnich en vísperas de una guerra,(2021),12,130.0,6.8,53.0,30786.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
181,Napoleon,,,NaN,NaN,NaN,NaN,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
182,Norsemen,(2016–2020),16,30.0,7.7,NaN,19021.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
183,Norte y Sur,(1985),,561.0,8.0,NaN,11019.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
184,Nuestra bandera significa muerte,(2022– ),16,30.0,7.8,NaN,25763.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
185,Oppenheimer,(2023),,NaN,NaN,NaN,NaN,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
186,Pathonpatham Noottandu,(2022),,158.0,7.3,NaN,1139.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
187,Pearl Harbor,(2001),7,183.0,6.2,44.0,333678.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
188,Perdidos en el Ártico,(2022),12,102.0,6.5,49.0,22726.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
189,Perry Mason,(2020– ),16,60.0,7.5,NaN,19401.0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
190,Ponniyin Selvan: Part One,(2022),,167.0,8.0,NaN,27907.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
191,Pride/Orgullo,(I) (2014),7/fig,119.0,7.8,79.0,57806.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
192,Ratched,(2020– ),16,60.0,7.3,NaN,58200.0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
193,Raíces,(1977),,588.0,8.4,NaN,17707.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
194,Resistencia,(2020),16,120.0,6.4,53.0,7352.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
195,Resistencia,(I) (2008),12,137.0,7.1,58.0,148997.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
196,Robin Hood,(2010),7,140.0,6.6,53.0,270606.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
197,Roma,(2005–2007),18,52.0,8.7,NaN,172019.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
198,Romulus,(2020– ),12,NaN,7.0,NaN,2150.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
199,Shakespeare in Love (Shakespeare enamorado),(1998),A,123.0,7.1,87.0,225807.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
200,Sharpe,(1993–2008),,NaN,8.4,NaN,1437.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
201,Siete años en el Tíbet,(1997),13,136.0,7.1,55.0,145320.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
202,Silencio,(I) (2016),16,161.0,7.1,79.0,113591.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
203,Sisi,(2021– ),,60.0,6.7,NaN,1504.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
204,Six,(2017–2018),16,60.0,7.2,NaN,12888.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
205,Spartacus: Dioses de la arena,(2011),18,331.0,8.5,NaN,138113.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
206,Spartacus: Sangre y arena,(2010–2013),18,55.0,8.5,NaN,242504.0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
207,Straight Outta Compton,(2015),16,147.0,7.8,72.0,202889.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
208,Su majestad Mrs. Brown,(1997),T,101.0,7.2,71.0,14727.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
209,TURN: Espías de Washington,(2014–2017),,60.0,8.1,NaN,22017.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
210,The Chosen,(2017– ),,54.0,9.4,NaN,28162.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
211,The Crown,(2016– ),13,58.0,8.7,NaN,211118.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
212,The First Lady,(2022),16,60.0,7.1,NaN,4613.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
213,The Great,(2020– ),16,45.0,8.2,NaN,42303.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
214,The King,(I) (2019),16,140.0,7.3,62.0,129879.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
215,The Knick,(2014–2015),16,58.0,8.5,NaN,48983.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
216,The Last Kingdom,(2015–2022),16,60.0,8.5,NaN,139717.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
217,The Looming Tower,(2018),16,492.0,8.0,NaN,15444.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
218,The Outpost,(2019),16,123.0,6.8,71.0,35056.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
219,The Pacific,(2010),18,530.0,8.3,NaN,112850.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
220,The Spanish Princess,(2019–2020),16,55.0,6.9,NaN,8739.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
221,The Sympathizer,,,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
222,The legend of Maula Jatt,(2022),,153.0,8.9,NaN,8362.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
223,This England,(2022),,52.0,6.6,NaN,1053.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
224,Tiempos de gloria,(1989),13,122.0,7.8,78.0,135774.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
225,Tierra de faraones,(1955),13,106.0,6.6,NaN,4129.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
226,Till - El crimen que lo cambió todo,(2022),PG-13,130.0,7.6,79.0,1829.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
227,Todas somos Jane,(2022),R,121.0,6.3,64.0,1459.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
228,Todos los hombres del presidente,(1976),14,138.0,7.9,84.0,116435.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
229,Tombstone: La leyenda de Wyatt Earp,(1993),18,130.0,7.8,50.0,149942.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
230,Trece días,(2000),7,145.0,7.3,67.0,59369.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
231,Troya,(2004),13,163.0,7.3,56.0,535233.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
232,Truman Capote,(2005),18,114.0,7.3,88.0,134129.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
233,Un escándalo muy británico,(2021),16,177.0,7.0,NaN,5715.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
234,Un puente lejano,(1977),14,175.0,7.4,63.0,57296.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
235,Una sombra en mi ojo,(2021),16,107.0,7.3,NaN,11842.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
236,Valkiria,(2008),13,121.0,7.1,56.0,245770.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
237,Versailles,(2015–2018),16,52.0,7.9,NaN,16958.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
238,Victoria,(2016–2019),TP,60.0,8.2,NaN,27752.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
239,Vienna Blood,(2019– ),12,90.0,7.5,NaN,5954.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
240,Vikingos,(2013–2020),18,44.0,8.5,NaN,529974.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
241,Vikingos: Valhalla,(2022– ),,51.0,7.2,NaN,39056.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
242,Vinland Saga,(2019– ),Not Rated,24.0,8.8,NaN,38676.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
243,War Horse (Caballo de batalla),(2011),7,146.0,7.2,72.0,158290.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
244,Warrior,(2019– ),16,60.0,8.4,NaN,26612.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
245,Wolf Hall,(2015),12,360.0,8.1,NaN,11669.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
246,"Z, la ciudad perdida",(2016),12,141.0,6.6,78.0,92094.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
247,Zac Efron: Con los pies en la tierra,(2020– ),7,40.0,8.0,NaN,6957.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
248,¡Llama a la comadrona!,(2012– ),16,60.0,8.6,NaN,27032.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
249,Ámsterdam,(2022),12,134.0,6.1,48.0,20975.0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
