,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,I,M,MUSIC,MUSICAL,MYSTERY,REALITY-TV,ROMANCE,S,SHORT,TALK-SHOW,THRILLER,U
123,Hustle & Flow,(2005),R,116.0,7.3,68.0,41065.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
124,I Still Believe,(2020),PG,116.0,6.4,41.0,12209.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
125,I'm Not There,(2007),7,135.0,6.8,73.0,59235.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
126,In Living Color,(1990–1994),,30.0,8.1,NaN,11569.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
127,Josie y las melódicas,(2001),A,98.0,5.5,47.0,23520.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
128,"Juliet, desnuda",(2018),7,97.0,6.6,67.0,22976.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
129,La Navidad de Carlitos,(1965 TV Movie),TP,25.0,8.3,NaN,37810.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,La bamba,(1987),,108.0,6.9,65.0,34117.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
131,La canción de mi padre,(2018),12,110.0,7.3,30.0,16494.0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,La ciudad de las estrellas. La La Land,(2016),A,128.0,8.0,94.0,584641.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
133,La cuadrilla de los once,(1960),13,127.0,6.5,57.0,23477.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
134,La doble vida de Verónica,(1991),13,98.0,7.7,86.0,49172.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
135,La juventud,(I) (2015),12,124.0,7.3,64.0,79070.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
136,La leyenda del pianista en el océano,(1998),7,169.0,8.0,58.0,64808.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
137,La madre del blues,(2020),16,94.0,6.9,87.0,53775.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
138,La perfección,(2018),16,90.0,6.2,60.0,44121.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
139,La pianista,(2001),18,131.0,7.5,79.0,65141.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
140,La playlist,(2022),12,300.0,7.5,NaN,6361.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
141,La última canción,(2010),A,108.0,6.0,33.0,88276.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
142,Las alucinantes aventuras de Bill y Ted,(1989),A,90.0,6.9,50.0,132206.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
143,"Las aventuras de Priscilla, reina del desierto",(1994),13,104.0,7.5,70.0,50934.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
144,Laugh-In,(1967–1973),,60.0,8.0,NaN,3225.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
145,LazyTown,(2002–2014),TP,30.0,5.9,NaN,7444.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
146,LelleBelle,(2010 TV Movie),,85.0,5.5,NaN,1267.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
147,Lizzie Superstar,(2003),A,94.0,5.5,56.0,40028.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
148,Los Conchords,(2007–2009),7,28.0,8.6,NaN,61662.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
149,Los productores,(1967),13,88.0,7.5,96.0,56505.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
150,Maestro,(VII),,NaN,NaN,NaN,NaN,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
151,Magic Mike XXL,(2015),16,115.0,5.6,60.0,56712.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
152,Mamá y sus increíbles hijos,(1970–1974),,30.0,6.5,NaN,4237.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
153,Metal Lords,(2022),12,97.0,6.7,59.0,27317.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
154,Monarch,(2022– ),,44.0,4.1,NaN,1261.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
155,Mood,(2022),,45.0,6.0,NaN,497.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
156,Moonage Daydream,(2022),7,135.0,8.0,83.0,6242.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
157,Movida en el Roxbury,(1998),13,82.0,6.2,26.0,61321.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
158,Mozart in the Jungle,(2014–2018),16,29.0,8.1,NaN,24899.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
159,My Little Pony: La magia de la amistad,(2010–2020),TP,22.0,7.7,NaN,21201.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
160,Música a bordo,(2019),12,112.0,7.0,45.0,9613.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
161,Nashville,(1975),,160.0,7.7,96.0,26674.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
162,Nashville,(2012–2018),12,43.0,7.7,NaN,25879.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
163,Never Mind the Buzzcocks,(1996–2022),,30.0,7.8,NaN,5817.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
164,"Nick y Nora, una noche de música y amor",(2008),13,90.0,6.6,64.0,92975.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
165,Nocturno,(II) (2020),16,90.0,5.7,58.0,9540.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
166,Notorious,(2009),18,122.0,6.6,60.0,44176.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
167,Nowhere Boy,(2009),R,98.0,7.1,67.0,37254.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
168,O Brother!,(2000),A,107.0,7.7,69.0,312658.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
169,Once,(I) (2007),TP,86.0,7.8,89.0,117045.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
170,One December Night,(2021 TV Movie),,84.0,7.1,NaN,988.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
171,Ordinary Joe,(2021–2022),,NaN,6.7,NaN,2694.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
172,Pink Floyd: The Wall (El muro),(1982),18,95.0,8.0,47.0,81549.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
173,Pistol,(2022),18,NaN,7.6,NaN,6773.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
174,Ponte en mi lugar,(2003),A,97.0,6.3,70.0,140035.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175,Punk story,(1998),R,97.0,7.4,50.0,30300.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
176,Pure Country,(1992),PG,112.0,7.1,NaN,4882.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
177,Quiero bailar con alguien,(2022),,NaN,NaN,NaN,NaN,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
178,Quiero ser libre,(1980),,124.0,7.5,87.0,19158.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
179,Quiero ser superfamosa,(2004),PG,89.0,4.6,33.0,29645.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
180,Radio encubierta,(2009),R,135.0,7.3,58.0,112257.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
181,Ray,(I) (2004),13,152.0,7.7,73.0,148758.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
182,Respect,(2021),12,145.0,6.6,61.0,14985.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
183,Rheingold,(2022),,138.0,7.0,NaN,551.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184,Riley y el mundo,(2014–2017),TP,23.0,7.1,NaN,14853.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
185,Rock Star,(2001),13,105.0,6.3,54.0,43728.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
186,Río,(2011),A/i,96.0,6.9,63.0,228764.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
187,Río 2,(2014),A/i,101.0,6.3,49.0,91362.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
188,Samsara,(I) (2011),PG-13,102.0,8.4,65.0,36208.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
189,Saturday Night Live,(1975– ),,90.0,8.0,NaN,49108.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
190,Savage X Fenty Show,(2019),,51.0,7.3,NaN,779.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
191,Savage x Fenty Show Vol. 4,(2022),,41.0,7.4,NaN,518.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
192,Selena,(1997),PG,127.0,6.8,67.0,29336.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
193,Señores del caos,(2018),R,118.0,6.6,48.0,16352.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
194,Shall we Dance? (¿Bailamos?),(2004),A,106.0,6.2,47.0,47497.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
195,Si decido quedarme,(2014),13,107.0,6.7,46.0,123819.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
196,Sid y Nancy,(1986),18,112.0,7.0,76.0,32803.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
197,Sing Street,(2016),12,106.0,7.9,79.0,94225.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
198,Sister Act (Una monja de cuidado),(1992),T,100.0,6.5,51.0,100076.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
199,Sister Act 2: De vuelta al convento,(1993),T,107.0,5.6,38.0,54648.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
200,Solteros,(1992),13,99.0,6.7,71.0,30634.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
201,Soul,(2020),A,100.0,8.0,83.0,327379.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
202,Sound of Metal,(2019),12,120.0,7.7,82.0,127830.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
203,Spiceworld: La película,(1997),T,93.0,3.6,32.0,36193.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
204,Spy Kids 4: Todo el tiempo del mundo,(2011),A,89.0,3.5,37.0,25863.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
205,Star,(2016–2019),,42.0,6.6,NaN,4616.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
206,Staying Alive,(1983),A,93.0,4.7,23.0,16308.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
207,Step Up Revolution,(2012),PG-13,99.0,6.4,43.0,56543.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
208,Step Up: High Water,(2018– ),,50.0,7.3,NaN,1384.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
209,Straight Outta Compton,(2015),16,147.0,7.8,72.0,202889.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
210,Street Dance,(2008),PG-13,98.0,6.2,50.0,88093.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
211,Studio 666,(2022),16,106.0,5.7,50.0,9127.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
212,Tarzán,(1999),A,88.0,7.3,79.0,227396.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
213,Taurus,(2022),,98.0,4.8,55.0,316.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
214,The Beatles: Get Back,(2021),16,468.0,9.0,NaN,22599.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
215,The Commitments,(1991),13,118.0,7.6,73.0,36070.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
216,The Dirt,(2019),18,107.0,7.0,39.0,50151.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
217,The Doors,(1991),18,140.0,7.2,62.0,93422.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
218,The Graham Norton Show,(2007– ),12,60.0,8.4,NaN,12176.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
219,The Masked Singer,(2019–2022),,60.0,5.9,NaN,4555.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
220,The Runaways,(2010),R,106.0,6.5,65.0,49442.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
221,The Voice,(2011– ),,60.0,6.5,NaN,12674.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
222,The Wonders,(1996),T,108.0,6.9,71.0,69592.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
223,This Is Spinal Tap,(1984),18,82.0,7.9,92.0,140345.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
224,Tina,(1993),18,118.0,7.3,76.0,21515.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
225,Todo el mundo odia a Chris,(2005–2009),,22.0,7.5,NaN,38246.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
226,Todo eso y más,(1994–2020),,30.0,7.5,NaN,7829.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
227,Todo sobre mi desmadre,(2010),12,109.0,6.3,65.0,179512.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
228,Todos los ojos en mí,(2017),R,139.0,5.8,38.0,23497.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
229,Top Secret!,(1984),A,90.0,7.2,68.0,67829.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
230,Torn Hearts,(2022),,97.0,5.2,59.0,1190.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
231,Treme,(2010–2013),12,55.0,8.3,NaN,14962.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
232,Tres amores,(1953),,122.0,6.8,NaN,1370.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
233,Tres colores: Azul,(1993),13,94.0,7.9,85.0,102701.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
234,Tár,(2022),R,158.0,8.1,91.0,5060.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
235,Un poderoso viento,(2003),PG-13,91.0,7.2,81.0,28368.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
236,Un rockero de pelotas,(2008),PG-13,102.0,6.2,53.0,39036.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
237,Una casa de locos,(2014– ),7,22.0,7.0,NaN,6732.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
238,Velvet Goldmine,(1998),13,118.0,6.9,65.0,36171.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
239,Victorious,(2010–2013),TP,30.0,7.0,NaN,25641.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
240,Vinyl,(2016),18,60.0,7.7,NaN,23810.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
241,Wayne's World: ¡Qué desparrame!,(1992),13,94.0,7.0,57.0,158300.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
242,We Are Your Friends,(2015),R,96.0,6.1,46.0,39020.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
243,Weird: The Al Yankovic Story,(2010 Video),,3.0,8.4,NaN,532.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
244,Weird: The Al Yankovic Story,(2022),14,108.0,7.1,70.0,14159.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
245,Whiplash,(2014),12,106.0,8.5,89.0,851283.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
246,Yesterday,(III) (2019),A,116.0,6.8,55.0,153248.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
247,Yo era famoso,(2022),,104.0,6.6,NaN,6835.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
248,Yoga Hosers,(2016),12,88.0,4.2,23.0,14346.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
249,Your Lie in April,(2014–2015),A,23.0,8.6,NaN,29684.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
