,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,M,MUSIC,MUSICAL,MYSTERY,N,O,R,REALITY-TV,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER,WAR,WESTERN
123,La forma del agua,(2017),12,123.0,7.3,87.0,418718.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
124,La niñera,(1993–1999),7,22.0,7.0,NaN,43880.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
125,La novia cadáver,(2005),7,77.0,7.3,83.0,273984.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126,La peor persona del mundo,(2021),16,128.0,7.8,90.0,63621.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
127,La princesa prometida,(1987),A,98.0,8.0,77.0,426956.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
128,La proposición,(I) (2009),A,108.0,6.7,48.0,328567.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
129,La sirenita,(2023),,NaN,NaN,NaN,NaN,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
130,La teoría del todo,(2014),A,123.0,7.7,71.0,450288.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
131,La tienda de los horrores,(1986),A,94.0,7.1,81.0,77591.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
132,La vecina de al lado,(2004),18,109.0,6.7,47.0,225904.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
133,La vida de Adèle,(2013),16,180.0,7.7,89.0,152832.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
134,La vida es bella,(1997),A,116.0,8.6,59.0,690989.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
135,Laal Singh Chaddha,(2022),7,159.0,5.4,46.0,171038.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
136,Langosta,(2015),16,119.0,7.1,82.0,255981.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
137,Legend,(1985),,94.0,6.3,30.0,66860.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
138,Leyendas de pasión,(1994),13,133.0,7.5,45.0,167174.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
139,Licorice Pizza,(2021),12,133.0,7.2,90.0,110346.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
140,Lolita de Adrian Lyne,(1997),18,137.0,6.8,46.0,59861.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
141,Los Bridgerton,(2020– ),16,60.0,7.4,NaN,135204.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
142,Los Médici: Señores de Florencia,(2016–2019),18,60.0,7.9,NaN,19471.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Los Tudor,(2007–2010),18,60.0,8.1,NaN,75285.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
144,Los Walton,(1972–1981),,60.0,7.6,NaN,7872.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
145,Los miserables,(2012),7,158.0,7.5,63.0,330187.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
146,Los pájaros,(1963),A,119.0,7.6,90.0,190024.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
147,Los rompecorazones,(2022– ),16,50.0,7.7,NaN,5148.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
148,Los vigilantes de la playa,(1989–2001),A,60.0,5.4,NaN,28134.0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Love,(II) (2015),18,135.0,6.1,51.0,59360.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
150,Love Actually,(2003),A,135.0,7.6,55.0,479688.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
151,Love Is Blind,(2020– ),7,48.0,6.1,NaN,8381.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
152,Love is in the Air,(2020–2021),12,120.0,7.1,NaN,10524.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
153,Malena,(2000),13,108.0,7.4,54.0,103280.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
154,Maléfica,(2014),7,97.0,6.9,56.0,375782.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Miracle Workers,(2019– ),12,22.0,7.1,NaN,14601.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
156,Mis dos vidas,(2022),12,110.0,6.3,49.0,16982.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
157,Mismatched,(2020– ),12,30.0,5.6,NaN,4896.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
158,Modern Family,(2009–2020),13,22.0,8.5,NaN,427707.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
159,Modern Love,(2019–2021),16,32.0,7.9,NaN,32747.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
160,Mom,(2013–2021),12,30.0,7.3,NaN,35460.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
161,Mujercitas,(2019),A,135.0,7.8,91.0,203048.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
162,Mujeres desesperadas,(2004–2012),12,45.0,7.6,NaN,129019.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
163,My Policeman,(2022),R,113.0,6.3,49.0,1091.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
164,Navidades en incógnito,(2014 TV Movie),,88.0,6.2,NaN,5422.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
165,New Girl,(2011–2018),13,22.0,7.8,NaN,223536.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
166,Noel Next Door,(2022 TV Movie),,84.0,6.9,NaN,495.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
167,Normal People,(2020),18,339.0,8.4,NaN,65883.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
168,Notting Hill,(1999),T,124.0,7.2,68.0,311235.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
169,Nuestra bandera significa muerte,(2022– ),16,30.0,7.8,NaN,25543.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
170,One Tree Hill,(2003–2012),16,60.0,7.7,NaN,80579.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
171,Outer Banks,(2020– ),13,50.0,7.6,NaN,49279.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Outlander,(2014– ),16,60.0,8.4,NaN,159428.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
173,Pam & Tommy,(2022),18,340.0,7.3,NaN,33327.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
174,Panhandle,(2022– ),,49.0,6.8,NaN,328.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
175,Pequeñas mentirosas,(2010–2017),13,44.0,7.4,NaN,167392.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
176,Persuasión,(I) (2022),18,108.0,5.7,42.0,27664.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
177,Pretty Woman,(1990),13,119.0,7.1,51.0,324921.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
178,Pride & Prejudice (Orgullo y prejuicio),(2005),A,129.0,7.8,82.0,296125.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
179,Prodigiosa: Las aventuras de Ladybug,(2015– ),TP,20.0,7.6,NaN,11531.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
180,Prácticamente magia,(1998),7,104.0,6.2,46.0,83946.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
181,Ramy,(2019– ),16,30.0,8.0,NaN,14465.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
182,Retrato de una mujer en llamas,(2019),7/fig,122.0,8.1,95.0,91073.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
183,Risky Business,(1983),13,99.0,6.8,75.0,91997.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
184,Riverdale,(2017– ),16,45.0,6.6,NaN,144850.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
185,Roma,(2005–2007),18,52.0,8.7,NaN,171715.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
186,Romeo y Julieta de William Shakespeare,(1996),18,120.0,6.7,60.0,229935.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
187,Rosalina,(2022),16,95.0,6.4,61.0,4229.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
188,Sanditon,(2019– ),12,60.0,7.7,NaN,14128.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
189,Scott Pilgrim contra el mundo,(2010),A,112.0,7.5,69.0,425573.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Secretary,(2002),18,107.0,6.9,63.0,92023.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
191,Sensación de vivir,(1990–2000),13,44.0,6.5,NaN,34719.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
192,Sexo en Nueva York,(1998–2004),16,30.0,7.3,NaN,127013.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
193,Sexo/Vida,(2021– ),18,45.0,5.4,NaN,21400.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
194,Shadowhunters: The Mortal Instruments,(2016–2019),13,42.0,6.5,NaN,63655.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Shrek,(2001),A,90.0,7.9,84.0,674069.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Si fuera fácil,(2012),16,134.0,6.2,59.0,142110.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
197,Sin compromiso,(I) (2011),7,108.0,6.2,50.0,231275.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
198,Sissy,(2022),,102.0,6.2,67.0,1992.0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Sita Ramam,(2022),,163.0,8.5,NaN,40727.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
200,Sleeping Beauty,(2011),,101.0,5.3,57.0,32922.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
201,Sonrisas y lágrimas,(1965),A,172.0,8.1,63.0,234045.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
202,Soñadores,(2003),18,115.0,7.1,62.0,122300.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
203,Spartacus: Sangre y arena,(2010–2013),18,55.0,8.5,NaN,242190.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
204,Stardust,(2007),7,127.0,7.6,66.0,273097.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Stars at Noon,(2022),R,135.0,5.4,64.0,1063.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
206,Super Mario Bros.: La película,(2023),PG,NaN,NaN,NaN,NaN,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
207,Superman & Lois,(2021– ),12,42.0,7.8,NaN,32373.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Sweet Home Alabama,(2002),A,108.0,6.2,45.0,114534.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
209,Sígueme el rollo,(2011),A,117.0,6.4,33.0,245367.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
210,Tal como éramos,(1973),18,118.0,7.0,61.0,25452.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
211,Teen Wolf,(2011–2017),16,41.0,7.7,NaN,148115.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
212,Teen Wolf (De pelo en pecho),(1985),A,91.0,6.1,25.0,54305.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
213,That '90s Show,,,30.0,NaN,NaN,NaN,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
214,The End of the F***ing World,(2017–2019),16,25.0,8.1,NaN,188830.0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,The Good Place,(2016–2020),13,22.0,8.2,NaN,158909.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
216,The King,(I) (2019),16,140.0,7.3,62.0,129330.0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,The Love Witch,(2016),,120.0,6.2,82.0,16750.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
218,The O.C.,(2003–2007),13,44.0,7.5,NaN,89944.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
219,The Reader (El lector),(2008),13,124.0,7.6,58.0,246014.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
220,This Is Us,(2016–2022),12,45.0,8.7,NaN,143413.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
221,Thor: Love and Thunder,(2022),12,118.0,6.4,57.0,299293.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
222,Titanic,(1997),13,194.0,7.9,75.0,1164706.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
223,Tres mil años esperándote,(2022),12,108.0,6.7,60.0,26881.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
224,True Blood,(2008–2014),18,55.0,7.9,NaN,245627.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
225,Tú a Londres y yo a California,(1998),T,128.0,6.6,64.0,138667.0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Un hombre llamado Ove,(2015),7,116.0,7.7,70.0,55844.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
227,Un lugar para soñar,(2019– ),13,44.0,7.4,NaN,41958.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
228,Una chica del siglo XX,(2022),,119.0,7.3,NaN,2020.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
229,Una cuestión de tiempo,(I) (2013),A,123.0,7.8,55.0,349198.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
230,Una noche en la vida de Jimmy Reardon,(1988),,90.0,5.5,NaN,2855.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
231,Una rubia muy legal,(2001),A,96.0,6.4,59.0,218841.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
232,Urgencias,(1994–2009),13,44.0,7.8,NaN,61546.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
233,Vacaciones en el mar,(1977–1987),,60.0,6.2,NaN,11824.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
234,Vanilla Sky,(2001),13,136.0,6.9,45.0,267966.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
235,Viaje al paraíso,(2022),12,104.0,6.2,50.0,16726.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
236,Vikingos,(2013–2020),18,44.0,8.5,NaN,528781.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
237,Vikingos: Valhalla,(2022– ),,51.0,7.2,NaN,38726.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
238,Vértigo (De entre los muertos),(1958),A,128.0,8.3,100.0,401636.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
239,We Wish You a Married Christmas,(2022 TV Movie),,84.0,6.0,NaN,423.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
240,West Side Story,(2021),12,156.0,7.2,85.0,81996.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
241,Will & Grace,(1998–2020),18,22.0,7.3,NaN,56171.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
242,Willow,(1988),A,126.0,7.2,47.0,115295.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Willow,(2022– ),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
244,You,(2018– ),16,45.0,7.7,NaN,237699.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
245,Your Name.,(2016),A,106.0,8.4,79.0,265504.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,iCarly,(2007–2012),TP,30.0,6.7,NaN,39840.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
247,¡Olvídate de mí!,(2004),13,108.0,8.3,89.0,1001877.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
248,¿Conoces a Joe Black?,(1998),T,178.0,7.2,43.0,242219.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
249,Érase una vez,(2011–2018),16,60.0,7.7,NaN,224571.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
