,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,H,HORROR,MUSIC,MUSICAL,MYSTERY,NEWS,O,R,ROMANCE,S,SCI-FI,SHORT,SPORT,T,TALK-SHOW,THRILLER,WESTERN
0,100 Years,,,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,50 States of Fright,(2020– ),,7.0,6.6,NaN,1594.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,9 Kisses,(2014),,9.0,6.3,NaN,992.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3,A Cabinet of Curiosities,(2021),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4,Adult Night,(2020),,11.0,7.5,NaN,74.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5,Aline,(2021 Music Video),,4.0,8.2,NaN,84.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
6,All Too Well: The Short Film,(2021),,10.0,8.4,NaN,13343.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,Anfibilandia,(2019–2022),TP,23.0,8.2,NaN,6281.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
8,Anima,(I) (2019),,15.0,7.6,NaN,11833.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
9,Animaniacs,(1993–1998),TP,21.0,7.9,NaN,24066.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10,Animaniacs,(2020– ),,27.0,7.8,NaN,3275.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,Arthur,(1996–2022),,30.0,7.4,NaN,14445.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,"As Above, So Below: The Underworld of 'John Wick'",(2017 Video),,5.0,7.7,NaN,13769.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
13,Avengers: Quantum Encounter,(2022),,13.0,6.9,NaN,52.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,Aynen Aynen,(2019– ),,8.0,7.5,NaN,2450.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
15,Baby Shark's Big Show!,(2020– ),,24.0,2.6,NaN,662.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
16,Bao,(2018),G,8.0,7.5,NaN,29833.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
17,Baymax!,(2022– ),10,12.0,7.1,NaN,6653.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,Bee and PuppyCat,(2013– ),12,7.0,8.2,NaN,2747.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
19,Beetlejuice,(1989–1991),,22.0,7.3,NaN,7426.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
20,Beetlejuice 2,(2014),,3.0,5.8,NaN,91.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,Bella and Bernie,(2022),,15.0,5.5,NaN,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
22,Ben 10,(2016–2021),TP,12.0,2.9,NaN,4987.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
23,Better Call Saul presents: Slippin' Jimmy,(2022– ),,8.0,2.7,NaN,1048.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,Between Two Ferns with Zach Galifianakis,(2008– ),,4.0,8.4,NaN,8784.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
25,Bingo y Rolly,(2017– ),,24.0,6.9,NaN,1109.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,Black Adam Precursor,(2020),,2.0,7.8,NaN,640.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
27,Black Panther: Origins,(2020),,NaN,5.3,NaN,535.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
28,Blaze y los Monster Machines,(2014–2022),,22.0,5.7,NaN,893.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,Bob Hearts Abishola,(2019– ),,21.0,6.9,NaN,4261.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
30,Boss Bitch Fight Challenge,(2020 Video),,5.0,7.8,NaN,1125.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
31,Brazil Carnival,(2016),,20.0,5.2,NaN,123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
32,Bruce Mercury and the Band of Pirates: XXX Lust,(2020 Video),,NaN,6.3,NaN,603.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
33,Bubble Guppies,(2011–2022),,24.0,6.4,NaN,1628.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,Bulgari: Unexpected Wonders,(2022 Video),,2.0,7.8,NaN,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
35,By the Lake,(2013 Video),,NaN,7.8,NaN,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
36,Cadillac: ScissorHandsFree,(2021 Video),,1.0,8.2,NaN,641.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
37,Camp Belvidere,(2014),,38.0,6.4,NaN,989.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
38,Campamento mágico,(2018– ),TP,NaN,7.7,NaN,1575.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
39,Cashback,(2004),,18.0,7.6,NaN,10864.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40,Centauria,(2021),7,25.0,7.6,NaN,2215.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
41,Cerdita,(2018),16,14.0,6.7,NaN,791.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,Charmsukh,(2019– ),,18.0,7.3,NaN,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
43,Chowder,(2007–2010),A,11.0,7.4,NaN,14160.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
44,Christmas in London,(2020),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
45,Clarence,(2013–2018),TP,23.0,6.8,NaN,9944.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
46,"Clifford, el gran perro rojo",(2000–2003),,30.0,6.5,NaN,4968.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
47,Colegio Abbott,(2021– ),12,22.0,8.2,NaN,15861.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
48,Como entrenar tu dragón: vuelta a casa,(2019 TV Short),TP,22.0,7.3,NaN,3987.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49,Cubicle,(II) (2019),,4.0,7.5,NaN,38.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,Curious George,(2006– ),,30.0,7.2,NaN,2641.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
51,Curve,(2016),,10.0,6.8,NaN,817.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
52,Cyberchase,(2002– ),,30.0,6.9,NaN,2641.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,DC Showcase: Superman/Shazam!: El regreso de Black Adam,(2010 Video),A,25.0,7.0,NaN,8478.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
54,Debt,(2020),,5.0,5.1,NaN,8.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
55,Dhar Mann,(2018–2022),,NaN,4.5,NaN,919.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,Dino Dana,(2017–2020),TP,22.0,7.2,NaN,514.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
57,Dior: I'm your Man - Dior Homme,(2020 Video),,1.0,8.3,NaN,494.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
58,Dior: Joy,(2018 Video),,2.0,6.8,NaN,738.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
59,Don't Breathe: No Escape,(2016 Video),,3.0,7.2,NaN,12666.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
60,Don't Hug Me I'm Scared,(2011 Video),13,3.0,8.2,NaN,4264.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,Don't Worry Darling,(II) (2022),,NaN,6.3,NaN,33.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
62,Dos completos desconocidos,(2020),,32.0,6.9,NaN,15665.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
63,Dr. Horrible's Sing-Along Blog,(2008),,42.0,8.4,NaN,43448.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
64,Dragon's Heaven,(1988 Video),,42.0,6.5,NaN,270.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
65,Dubai Presents: A Five-Star Mission,(2021),,2.0,5.1,NaN,189.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
66,Dug y Carl,(2021– ),A,10.0,8.1,NaN,4289.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
67,Dummy,(2020),,6.0,6.6,NaN,2142.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
68,El amor en el espectro autista: Estados Unidos,(2022– ),7,40.0,8.2,NaN,1404.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
69,El asombroso mundo de Gumball,(2011–2019),TP,11.0,8.3,NaN,32449.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
70,El capitán Planeta y los planetarios,(1990–1996),,23.0,6.7,NaN,11946.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
71,El día de acción de gracias de Charlie Brown,(1973 TV Short),A,25.0,7.7,NaN,10936.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72,El hombre contra la abeja,(2022– ),7,NaN,6.7,NaN,27865.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
73,El laboratorio de Dexter,(1996–2003),7,23.0,7.9,NaN,49341.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
74,El muelle,(1962),,28.0,8.2,NaN,34094.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
75,El mundo de Craig,(2018– ),TP,30.0,7.4,NaN,2602.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,El tiempo que te doy,(2021– ),16,10.0,7.1,NaN,1486.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
77,Entering Red,(2019),,12.0,6.0,NaN,495.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
78,Estudios de avena,(2017– ),,20.0,6.4,NaN,2280.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
79,Extraña forma de vida,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
80,Fallen Tree,(2012 Video),,1.0,6.5,NaN,28.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81,Family Feud,(1999– ),,30.0,6.8,NaN,4117.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
82,Fancy Nancy Clancy,(2018–2022),TP,22.0,5.6,NaN,409.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
83,Father of the Bride Part 3 (ish),(2020),,26.0,6.9,NaN,1223.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
84,Fergie: M.I.L.F. $,(2016 Music Video),6+,4.0,5.2,NaN,275.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
85,Flapjack,(2008–2010),7,11.0,7.8,NaN,14405.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86,Frankenweenie,(1984),T,29.0,7.2,NaN,12572.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
87,From Devil's Breath,(2021),,40.0,8.2,NaN,15.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,"Frosty, el muñeco de nieve",(1969 TV Short),,25.0,7.3,NaN,18764.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
89,Ginî piggu 2: Chiniku no hana,(1985 Video),,42.0,4.8,NaN,4156.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90,"God, Sex and Truth",(2018),,19.0,4.3,NaN,917.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
91,Guardians of the Galaxy: Cosmic Rewind,(2022),,NaN,8.6,NaN,38.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
92,Guinea Pig: Devil's Experiment,(1985 Video),,43.0,3.7,NaN,3872.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
93,Hierve,(I) (2019),12,22.0,7.5,NaN,1390.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
94,Home Movie: The Princess Bride,(2020– ),TP,NaN,7.7,NaN,1320.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
95,Hotel Chevalier,(2007),R,13.0,7.2,NaN,34042.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
96,Hotel Desire,(2011),,38.0,5.7,NaN,3411.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
97,Inside Look: The Assassination of Gianni Versace - American Crime Story,(2017–2018),,3.0,7.7,NaN,10010.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
98,Inside Look: The People v. O.J. Simpson - American Crime Story,(2016),,5.0,8.4,NaN,26426.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
99,John Wick: Don't F*#% with John Wick,(2015),,16.0,8.3,NaN,10491.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,Johnny Bravo,(1997–2004),,30.0,7.2,NaN,36612.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
101,Judge Judy,(1996–2021),12,30.0,6.0,NaN,5046.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
102,Kamp Koral: SpongeBob's Under Years,(2021– ),,22.0,3.6,NaN,1252.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
103,Kenobi: A Star Wars Fan Film,(2019),,19.0,7.0,NaN,13365.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
104,Kick the Cock,(2008),,16.0,3.7,NaN,444.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
105,Kung Fury,(2015),,31.0,8.0,NaN,59970.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
106,La casa de muñecas de Gabby,(2021– ),7,24.0,7.2,NaN,464.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
107,La fonte des neiges,(2009),,28.0,6.2,NaN,815.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,La ley de Milo Murphy,(2016–2019),,12.0,7.6,NaN,2995.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
109,La leyenda de Sleepy Hollow,(1949),,34.0,7.8,NaN,5303.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
110,La maldición de Molly McGee,(2021– ),TP,22.0,7.3,NaN,1116.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
111,La oveja Shaun,(2007–2020),TP,7.0,8.2,NaN,14791.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
112,La sirenita,(1992–1994),7,25.0,6.7,NaN,5267.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
113,La voz humana,(2020),12,30.0,6.9,88.0,6394.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
114,Laboratory Conditions,(2017),,16.0,7.4,NaN,166.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
115,Las aventuras de Paddington,(2019– ),TP,NaN,8.5,NaN,411.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
116,Las aventuras del Gato con Botas,(2015–2018),,23.0,6.6,NaN,1781.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
117,Las nuevas aventuras de Winnie the Pooh,(1988–1991),,30.0,7.6,NaN,4286.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
118,Las supernenas,(2016–2023),TP,60.0,3.5,NaN,4644.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
119,Laura Hasn't Slept,(2020),,11.0,6.6,NaN,157.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
120,Leyendas de Marvel Studios,(2021– ),12,7.0,6.5,NaN,4503.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
121,Lilith & Eve,(2022),,6.0,7.5,NaN,18.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
122,Lo extraño de los Johnsons,(2011),,28.0,7.2,NaN,6163.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
123,Looney Tunes Cartoons,(2019– ),,12.0,8.0,NaN,1455.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
