,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,FILM-NOIR,HISTORY,MUSICAL,MYSTERY,O,P,R,REALITY-TV,ROMANCE,S,SCI-FI,SPORT,T,TALK-SHOW,THRILLER
0,17 otra vez,(2009),13,102.0,6.4,48.0,202653.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,30 for 30,(2009– ),,60.0,8.8,NaN,5077.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,42 segundos,(2022),12,106.0,6.8,NaN,463.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,42: La verdadera historia de una leyenda del deporte,(2013),7,128.0,7.5,62.0,96003.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4,83,(2021),7,162.0,7.5,NaN,37631.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,A por todas,(2000),A,98.0,6.1,52.0,97478.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
6,A por todas: Todo o nada,(2006 Video),13,99.0,5.5,NaN,21109.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7,Acero puro,(2011),A,127.0,7.0,56.0,330151.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
8,Ahora o nunca,(2009–2012),,45.0,7.5,NaN,10123.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9,Airborne,(1993),PG,91.0,6.2,28.0,7091.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
10,Ali,(2001),13,157.0,6.7,65.0,100401.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
11,All American,(2018– ),16,45.0,7.6,NaN,11571.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
12,All American: Homecoming,(2022– ),,42.0,6.1,NaN,844.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
13,American Underdog,(2021),PG,112.0,7.1,53.0,15142.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
14,Aviones,(2013),A,91.0,5.7,39.0,45761.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,Baki,(2018–2020),,45.0,6.7,NaN,6531.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,Ballers,(2015–2019),18,30.0,7.6,NaN,44633.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
17,Baseketball,(1998),13,103.0,6.5,38.0,62706.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
18,Bigger,(2018),PG-13,107.0,6.4,37.0,2787.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
19,Billy Lynn,(2016),12,113.0,6.2,53.0,22951.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20,Blue Lock,(2022– ),,22.0,8.4,NaN,1656.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
21,Blue Mountain State,(2010–2011),,22.0,8.3,NaN,54172.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
22,Boyka: Invicto 4,(2016 Video),R,86.0,6.9,NaN,29517.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
23,Bronce,(2015),R,100.0,6.1,44.0,12790.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
24,Campeón de campeones,(1989),A,97.0,6.4,26.0,14262.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
25,Campo de sueños,(1989),A,107.0,7.5,57.0,120342.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,Capitanes,(2022),7,38.0,6.3,NaN,137.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
27,Carros de fuego,(1981),A,125.0,7.1,78.0,61050.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
28,Cars,(2006),A,117.0,7.2,73.0,421607.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,Cars 2,(2011),A/i,106.0,6.2,57.0,191230.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,Cars 3,(2017),A,102.0,6.7,59.0,100988.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,Cars en la carretera,(2022– ),,NaN,7.0,NaN,2305.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,Challengers,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
33,Children of Heaven,(1997),13,89.0,8.2,77.0,75189.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
34,Cinderella Man. El hombre que no se dejó tumbar,(2005),13,144.0,8.0,69.0,188721.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
35,Coach Carter,(2005),13,136.0,7.3,57.0,150413.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
36,Cobra Kai,(2018– ),13,30.0,8.5,NaN,184581.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,Contacto sangriento,(1988),18,92.0,6.8,29.0,86053.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,Creed II. La leyenda de Rocky,(2018),16,130.0,7.1,66.0,126183.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
39,Creed III,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
40,Creed. La leyenda de Rocky,(II) (2015),12,133.0,7.6,82.0,274575.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
41,Cuestión de pelotas,(2004),13,92.0,6.7,55.0,250899.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
42,Dangal,(2016),A,161.0,8.3,NaN,191196.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,David Beckham: Al rescate del equipo,(2022– ),AL,35.0,6.5,NaN,150.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
44,De culo y cuesta abajo,(2009–2013),18,28.0,8.2,NaN,58580.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
45,Decisión final,(I) (2014),7,110.0,6.8,54.0,61211.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
46,Diario de un rebelde,(1995),13,102.0,7.3,46.0,112313.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,Doce huérfanos,(2021),12,118.0,6.9,44.0,5371.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
48,Driven,(2001),13,116.0,4.6,29.0,41567.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
49,Drown,(I) (2015),,93.0,5.6,NaN,1461.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
50,Días de trueno,(1990),A,107.0,6.1,60.0,89732.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
51,Eddie el Águila,(2015),A,106.0,7.3,54.0,94066.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,El Míster,(2021– ),9+,NaN,7.5,NaN,4545.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
53,El Presidente,(2020– ),16,60.0,7.1,NaN,1409.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
54,El aguador,(1998),T,90.0,6.1,41.0,165493.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
55,El arte de vivir bajo la lluvia,(2019),A,109.0,7.5,43.0,32057.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
56,El buscavidas,(1961),18,134.0,8.0,90.0,82487.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
57,El campeón del videojuego,(1989),,96.0,6.0,23.0,15655.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
58,El caso Fischer,(2014),7,115.0,7.0,65.0,46060.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
59,El castañazo,(1977),18,123.0,7.3,61.0,37939.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
60,El cielo puede esperar,(1978),13,101.0,6.9,72.0,21667.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
61,El clan de los rompehuesos,(2005),13,113.0,6.4,48.0,180526.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
62,El club de los chalados,(1980),,98.0,7.2,48.0,118764.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
63,El color del dinero,(1986),A,119.0,7.0,77.0,85395.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
64,El equipo redentor,(2022),7,97.0,7.4,76.0,6831.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
65,El farsante,(2005),PG-13,94.0,5.8,46.0,37274.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
66,El gran Maurice,(2021),PG-13,106.0,7.0,65.0,3769.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
67,El gran azul,(1988),13,168.0,7.5,35.0,52107.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
68,El luchador,(2008),13,109.0,7.9,80.0,306905.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
69,El mejor,(1984),A,138.0,7.4,61.0,49592.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
70,El milagro,(2004),PG,135.0,7.4,68.0,55135.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
71,El método Williams,(2021),12,144.0,7.5,76.0,111732.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
72,El novato del año,(1993),PG,103.0,6.0,53.0,28784.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,El nuevo Karate Kid,(1994),T,107.0,4.5,36.0,31395.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
74,El regreso de los mejores,(1996),7,104.0,5.4,NaN,27295.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75,El relevo,(1979),A,101.0,7.7,91.0,24049.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
76,El superviviente de Auschwitz,(2021),R,129.0,6.7,71.0,3696.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
77,El último baile,(2020),7,491.0,9.1,NaN,122574.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
78,El último dragón,(1985),13,109.0,6.8,58.0,16128.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,Elegidos para el triunfo,(1993),T,98.0,7.0,60.0,105049.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,Ella es el chico,(2006),A,105.0,6.3,45.0,160665.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
81,Ellas dan el golpe,(1992),A,128.0,7.3,69.0,110195.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
82,Ellas dan el golpe,(2022– ),,60.0,7.4,NaN,21265.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
83,En el filo de las olas,(2002),A,104.0,5.7,61.0,31714.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
84,En lucha,(2020),R,117.0,6.5,56.0,3050.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
85,Entre el amor y el juego,(1999),A,137.0,6.6,43.0,35559.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
86,Entrenador,(1989–1997),,30.0,7.0,NaN,7591.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
87,Equipo Marshall,(2006),PG,131.0,7.0,53.0,62188.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
88,Equipo a la fuerza,(2000),7,118.0,6.6,30.0,65723.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
89,Flipado sobre ruedas,(2007),PG-13,88.0,6.7,43.0,87418.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
90,Foxcatcher,(2014),12,134.0,7.0,81.0,143477.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
91,Free Solo,(2018),Not Rated,100.0,8.1,83.0,68828.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
92,Friday Night Lights,(2006–2011),13,44.0,8.7,NaN,66851.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
93,Fórmula 1: La emoción de un Grand Prix,(2019– ),12,40.0,8.6,NaN,40486.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
94,GLOW,(2017–2019),13,35.0,8.0,NaN,46832.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
95,Garra,(2022),12,117.0,7.3,68.0,116637.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
96,Gladiator,(1992),18,101.0,6.5,49.0,9546.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
97,Goles en Contra,(2022– ),,55.0,7.1,NaN,133.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
98,Golpe de efecto,(2012),A,111.0,6.8,58.0,64847.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
99,Goon,(2011),R,92.0,6.8,64.0,87565.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
100,Gran Turismo,(2023),,NaN,NaN,NaN,NaN,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,Grind,(2003),PG-13,105.0,5.9,30.0,12687.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
102,Guerra de cheerleaders,(2009),PG-13,90.0,6.1,31.0,44603.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
103,Haikyu!! Los ases del vóley,(2014–2020),7,24.0,8.7,NaN,25633.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104,Hard Knocks,(2001– ),,55.0,8.4,NaN,2234.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
105,Hardball,(2001),13,109.0,6.4,48.0,31838.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
106,Heart of Champions,(2021),PG-13,119.0,5.8,NaN,1211.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
107,Heels,(2021– ),18,60.0,8.0,NaN,6987.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
108,Herbie. A tope,(2005),A,101.0,4.9,47.0,48345.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
109,Hooligans,(2005),R,109.0,7.4,55.0,151949.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
110,Hoosiers: más que ídolos,(1986),TP,114.0,7.4,76.0,47661.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
111,Huracán Carter,(1999),R,146.0,7.6,74.0,97780.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
112,In from the Side,(2022),,134.0,7.9,NaN,2667.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
113,Intramural,(2014),R,100.0,4.3,58.0,1506.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
114,Invencible,(2006),A,105.0,7.0,63.0,71668.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
115,Invencible (Unbroken),(I) (2014),12,137.0,7.2,59.0,168928.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
116,Invictus,(2009),A,134.0,7.3,74.0,160488.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117,Jerry Maguire,(1996),7,139.0,7.3,77.0,267585.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
118,Juego de campeones,(1999),13,106.0,6.5,50.0,46562.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
119,Jugar en casa,(2022),7,95.0,6.0,23.0,18877.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
120,Karate Kid (El momento de la verdad),(1984),A,126.0,7.3,60.0,226630.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
121,Karate Kid II... La historia continúa,(1986),A,113.0,6.1,55.0,91328.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
122,Karate Kid III: El desafío final,(1989),A,112.0,5.3,36.0,64446.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
123,Kickboxer,(1989),18,97.0,6.4,33.0,56382.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
124,Kingdom,(2014–2017),,43.0,8.5,NaN,18326.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
