,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,MUSIC,MUSICAL,MYSTERY,REALITY-TV,ROMANCE,S,SCI-FI,SPORT,T,THRILLER,W,WAR,WESTERN
0,1883,(2021–2022),,60.0,8.8,NaN,65173.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,1923,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,Almas de metal,(1973),14,88.0,6.9,77.0,59042.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3,Appaloosa,(2008),R,115.0,6.7,64.0,61748.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,Arma joven,(1988),,107.0,6.8,50.0,62540.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,Atmósfera cero,(1981),13,109.0,6.6,48.0,30308.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,Australia,(2008),7,165.0,6.6,53.0,125317.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
7,Bacurau,(2019),16,131.0,7.3,82.0,27642.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
8,Bailando con lobos,(1990),A,181.0,8.0,72.0,265587.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
9,Bandidas,(2006),PG-13,93.0,5.7,NaN,35823.0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Billy el Niño,(2022– ),,49.0,7.2,NaN,3874.0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Biohazard 4,(2005 Video Game),18,NaN,9.2,NaN,13349.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,Bonanza,(1959–1973),A,49.0,7.3,NaN,9671.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
13,Bone Tomahawk,(2015),18,132.0,7.1,72.0,102575.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
14,Brimstone. La hija del predicador,(2016),18,148.0,7.0,45.0,41713.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
15,Bubba Ho-tep,(2002),13,92.0,6.9,57.0,49165.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
16,Buck y el farsante,(1972),,102.0,6.5,NaN,2233.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,Butcher's Crossing,(2022),,105.0,7.0,61.0,80.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,Caballos salvajes,(1973),,100.0,6.0,NaN,2362.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Calibre 44,(1957–1962),,60.0,7.9,NaN,908.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
20,Camino de Oregón,(1967),14,122.0,6.2,42.0,3077.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,Caravana,(1957–1965),,75.0,7.5,NaN,3282.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
22,Centauros del desierto,(1956),A,119.0,7.9,94.0,89853.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,Cheyenne,(1955–1963),,60.0,8.0,NaN,1773.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,Comanchería,(II) (2016),12,102.0,7.6,88.0,231157.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
25,Cometieron dos errores,(1968),18,114.0,7.0,62.0,39743.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,Cowboy de ciudad,(1980),,132.0,6.4,61.0,15244.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
27,Cowboys & Aliens,(2011),12,119.0,6.0,50.0,222015.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
28,Cowboys de ciudad,(1991),A,113.0,6.8,70.0,58021.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
29,Cry Macho,(2021),12,104.0,5.7,58.0,27365.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,Cuatro mujeres y un destino,(1994),13,99.0,5.2,NaN,12839.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
31,Cuero crudo,(1959–1965),,50.0,7.9,NaN,3965.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,Damnation,(2017–2018),16,60.0,7.6,NaN,8510.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,Daniel Boone,(1964–1970),,60.0,7.3,NaN,2102.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
34,De ratones y hombres,(1992),13,115.0,7.5,73.0,44147.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
35,Dead Man,(1995),13,121.0,7.5,62.0,97759.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,Dead for a Dollar,(2022),R,107.0,5.2,61.0,1526.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
37,Deadwood,(2004–2006),18,55.0,8.6,NaN,107450.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,Deadwood: La película,(2019 TV Movie),18,110.0,7.4,NaN,23307.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
39,Desapariciones,(I) (2003),13,137.0,6.5,55.0,36471.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
40,Desperado,(1995),18,104.0,7.1,55.0,186837.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,Deuda de honor - The Homesman,(2014),16,122.0,6.6,68.0,33461.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,Django,(1966),12,91.0,7.2,75.0,28293.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,Django,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
44,Django desencadenado,(2012),16,165.0,8.4,81.0,1538985.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
45,Django/Zorro,(2022),,NaN,NaN,NaN,NaN,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,Dos duros sobre ruedas,(1991),18,98.0,6.1,36.0,20639.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,Dos hombres y un destino,(1969),14,110.0,8.0,66.0,216290.0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Dos mulas y una mujer,(1970),18,116.0,7.0,62.0,28181.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
49,Duelo de titanes,(1957),A,122.0,7.2,56.0,16007.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,El Dorado,(1966),A,126.0,7.5,85.0,27556.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
51,El Topo,(1970),,125.0,7.2,65.0,29577.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
52,El Zorro,(1957–1959),,30.0,8.2,NaN,3676.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,El asesinato de Jesse James por el cobarde Robert Ford,(2007),12,160.0,7.5,68.0,182415.0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"El bueno, el feo y el malo",(1966),13,182.0,8.8,90.0,757687.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
55,El fuera de la ley,(1976),18,135.0,7.8,69.0,74313.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
56,El gran Chaparral,(1967–1971),,60.0,7.6,NaN,2086.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
57,El gran Jack,(1971),PG-13,110.0,7.1,57.0,13179.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
58,El gran McLintock,(1963),A,126.0,7.1,62.0,15289.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,El hombre de Río Nevado,(1982),12,102.0,7.2,63.0,9165.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
60,El hombre de las pistolas de oro,(1959),,121.0,7.1,NaN,6383.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,El hombre del rifle,(1958–1963),,30.0,8.3,NaN,4360.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,El hombre que mató a Liberty Valance,(1962),A,123.0,8.1,94.0,76499.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
63,El hombre que susurraba a los caballos,(1998),T,169.0,6.7,65.0,41620.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
64,El jinete pálido,(1985),13,115.0,7.3,61.0,60115.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
65,El jugador,(1980 TV Movie),,94.0,6.3,NaN,1074.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
66,El llanero solitario,(2013),7,150.0,6.4,37.0,235450.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
67,El pistolero de San Francisco,(1957–1963),,25.0,8.4,NaN,2914.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
68,El poder del perro,(2021),16,126.0,6.8,89.0,172382.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
69,El pájaro carpintero,(2020),16,335.0,7.6,NaN,6735.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,El regreso de Ben Wyatt,(1966),,98.0,6.4,NaN,618.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
71,El renacido (The Revenant),(2015),16,156.0,8.0,76.0,798928.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,El rostro impenetrable,(1961),13,141.0,7.1,NaN,11834.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,El tesoro de Sierra Madre,(1948),,126.0,8.2,98.0,125304.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
74,El tren de las 3:10,(1957),,92.0,7.6,NaN,20034.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
75,El tren de las 3:10,(2007),12,122.0,7.7,76.0,312204.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,El valle de la venganza,(2016),R,104.0,6.1,64.0,19367.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
77,El viaje más largo,(2015),7,123.0,7.0,33.0,83585.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
78,El viento,(II) (2018),R,88.0,5.6,66.0,8568.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
79,El virginiano,(1962–1971),,75.0,7.6,NaN,2772.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
80,El último desafío,(2013),16,107.0,6.3,54.0,139623.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
81,El último hijo,(2021),R,96.0,4.7,NaN,1494.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,El último pistolero,(1976),13,100.0,7.6,77.0,24823.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
83,Fallout: New Vegas,(2010 Video Game),,NaN,8.9,NaN,12436.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,Fiel amigo,(1957),,83.0,7.3,84.0,13879.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,First Cow,(2019),12,122.0,7.1,89.0,18867.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,Forsaken,(I) (2015),R,90.0,6.3,55.0,12532.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,Fort Apache,(1948),A,128.0,7.4,NaN,18439.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,Frontera,(2016–2018),16,60.0,7.1,NaN,21567.0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,"Gerónimo, una leyenda",(1993),T,115.0,6.5,58.0,11998.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,Gigante,(1956),A,201.0,7.6,84.0,39446.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
91,Godless,(2017),16,452.0,8.3,NaN,67506.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
92,Golden Kamuy,(2018– ),,24.0,8.1,NaN,1840.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,Grupo salvaje,(1969),13,145.0,7.9,97.0,85023.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
94,Hasta que llegó su hora,(1968),13,165.0,8.5,80.0,328667.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
95,Hatfields & McCoys,(2012),14,290.0,7.9,NaN,27217.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
96,Hell Hole,(2020),,NaN,7.3,NaN,19.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
97,Hombres errantes,(1952),,113.0,7.4,NaN,3218.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
98,Hondo,(1953),PG,83.0,7.0,79.0,11251.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
99,Honor y venganza,(1954),,95.0,6.6,NaN,1475.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
100,Horizon,(VI),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
101,Hostile Territory,(2022),R,94.0,4.7,NaN,429.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,Hostiles,(2017),12,134.0,7.2,65.0,85728.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
103,"Hud, el más salvaje entre mil",(1963),13,112.0,7.8,62.0,22128.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
104,Héroes por casualidad,(1998),PG-13,90.0,5.7,NaN,16696.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
105,Infierno de cobardes,(1973),18,105.0,7.4,69.0,57652.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
106,Infierno sobre ruedas,(2011–2016),12,42.0,8.3,NaN,52369.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
107,Into the West,(2005),,552.0,8.0,NaN,7057.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
108,Intrépidos forajidos,(1990),13,104.0,6.5,47.0,36604.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
109,Jim West,(1965–1969),,50.0,8.1,NaN,5424.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,Joe Kidd,(1972),13,88.0,6.4,52.0,18925.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
111,Joe Pickett,(2021– ),,50.0,7.6,NaN,2706.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,Jonah Hex,(2010),7,81.0,4.7,33.0,59400.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
113,Justified: La ley de Raylan,(2010–2015),16,44.0,8.6,NaN,100623.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
114,Jóvenes jinetes,(1989–1992),,60.0,7.7,NaN,2170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
115,Killers of the Flower Moon,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
116,Kung Fu,(1972–1975),,60.0,7.6,NaN,6269.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
117,La Torre Oscura,(2017),12,95.0,5.6,34.0,139270.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,La balada de Buster Scruggs,(2018),16,133.0,7.3,79.0,147774.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
119,La carrera del siglo,(1965),A,160.0,7.2,71.0,18200.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120,La casa de la pradera,(1974–1983),Not Rated,60.0,7.5,NaN,23762.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
121,La conquista del Oeste,(1962),7,164.0,7.0,56.0,21189.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
122,La conquista del Oeste,(1976–1979),,NaN,8.3,NaN,2293.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,La diligencia,(1939),A,96.0,7.8,93.0,49439.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
