,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,D,DRAMA,E,FAMILY,FANTASY,GAME-SHOW,HORROR,MYSTERY,N,ROMANCE,SCI-FI,SHORT,THRILLER,V,WAR,WESTERN
123,La conquista del espacio,(1966–1969),A,50.0,8.4,NaN,84285.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
124,La guerra de las galaxias,(1977),A,121.0,8.6,90.0,1356243.0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
125,La maldición de las brujas,(1990),A,91.0,6.8,78.0,50905.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
126,La maldición del hombre lobo,(2022 TV Movie),,52.0,7.2,NaN,43889.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,La materia oscura,(2019–2022),16,60.0,7.8,NaN,64360.0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
128,La misteriosa sociedad Benedict,(2021– ),9+,NaN,7.6,NaN,4161.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129,La princesa prometida,(1987),A,98.0,8.0,77.0,426956.0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
130,La rueda del tiempo,(2021– ),16,60.0,7.1,NaN,103965.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,La sirenita,(2023),,NaN,NaN,NaN,NaN,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
132,Las brujas de Roald Dahl,(2020),7,106.0,5.3,47.0,41370.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
133,Legacies,(2018–2022),16,45.0,7.3,NaN,31891.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
134,Liga de la Justicia,(2017),7,120.0,6.1,45.0,451727.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
135,Lightyear,(2022),A/i,100.0,6.0,60.0,99619.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,"Lilo, mi amigo el cocodrilo",(2022),A,106.0,6.3,51.0,2000.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Loki,(2021– ),12,53.0,8.2,NaN,311273.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138,Los Goonies,(1985),A,114.0,7.7,62.0,273795.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
139,Los Imperfectos,(2022– ),16,45.0,6.4,NaN,4908.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
140,Los Vengadores,(2012),7,143.0,8.0,69.0,1383777.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
141,Los juegos del hambre,(2012),12,142.0,7.2,68.0,914796.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
142,Los tipos malos,(2022),A/i,100.0,6.8,64.0,35942.0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Los vigilantes de la playa,(1989–2001),A,60.0,5.4,NaN,28134.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
144,"Love, Death & Robots",(2019– ),18,15.0,8.4,NaN,167469.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
145,Mad Max: Furia en la carretera,(2015),16,120.0,8.1,90.0,995557.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
146,Malditos bastardos,(2009),18,153.0,8.3,69.0,1435546.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
147,Minions: El origen de Gru,(2022),7/i,87.0,6.6,56.0,59600.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
148,Monster High,(2022 TV Movie),,92.0,4.7,NaN,1507.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
149,Moonfall,(2022),12,130.0,5.1,41.0,75348.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
150,Morbius,(2022),12,104.0,5.2,35.0,115943.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
151,Mr. Midnight: Cuidado con los monstruos,(2022),18,28.0,5.2,NaN,219.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
152,Ms. Marvel,(2022),7,271.0,6.2,NaN,100283.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
153,Mundo extraño,(2022),PG,NaN,NaN,NaN,NaN,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
154,My Hero Academia,(2016– ),12,24.0,8.4,NaN,61489.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Más allá del jardín,(2014),TP,22.0,8.8,NaN,56366.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
156,Naruto,(2002–2007),13,24.0,8.4,NaN,101345.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
157,Naruto: Shippûden,(2007–2017),13,24.0,8.7,NaN,125207.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
158,Night Sky,(2022),14,55.0,7.4,NaN,16834.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
159,Obi-Wan Kenobi,(2022),12,NaN,7.1,NaN,185480.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
160,One Piece,(1999– ),13,24.0,8.9,NaN,124165.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Oni: La leyenda del dios del trueno,(2022),7,167.0,8.3,NaN,452.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Origen,(2010),12,148.0,8.8,74.0,2330503.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
163,Perdidos,(2004–2010),16,44.0,8.3,NaN,551141.0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
164,Pesadillas,(2015),7,103.0,6.3,60.0,89492.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
165,Pinocho,(I) (2022),12,105.0,5.1,38.0,30414.0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Piratas del Caribe: La maldición de la Perla Negra,(2003),7,143.0,8.1,63.0,1121377.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
167,Piratas del Caribe: La venganza de Salazar,(2017),12,129.0,6.5,39.0,311203.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
168,Predator: La presa,(I) (2022),18,99.0,7.2,71.0,179312.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Prodigiosa: Las aventuras de Ladybug,(2015– ),TP,20.0,7.6,NaN,11531.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Professionals,(2020– ),,48.0,5.3,NaN,1542.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
171,Ram Setu,(2022),12,140.0,5.2,NaN,8855.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Ratatouille,(2007),A,111.0,8.1,96.0,730948.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
173,Ready Player One,(2018),7,140.0,7.4,64.0,434149.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
174,Regreso al futuro,(1985),A,116.0,8.5,87.0,1194573.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
175,Rick y Morty,(2013– ),18,23.0,9.2,NaN,513247.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Robin Hood,(2010),7,140.0,6.6,53.0,270256.0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Rogue One: Una historia de Star Wars,(2016),7,133.0,7.8,65.0,631547.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
178,S.W.A.T.: Los hombres de Harrelson,(2017– ),12,43.0,7.1,NaN,23838.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Scooby-Doo,(2002),7,89.0,5.2,35.0,114285.0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
180,Shang-Chi y la leyenda de los diez anillos,(2021),12,132.0,7.4,71.0,376087.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
181,Shantaram,(2022– ),18,NaN,7.9,NaN,3382.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Shazam! Fury of the Gods,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
183,She-Hulk: Abogada Hulka,(2022),12,35.0,5.1,NaN,154346.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Sin tiempo para morir,(2021),12,163.0,7.3,68.0,394299.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
185,Smallville,(2001–2017),7,60.0,7.5,NaN,128062.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Sombra y hueso,(2021– ),16,60.0,7.6,NaN,84229.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Sonic 2: La película,(2022),7,122.0,6.5,47.0,63662.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Spartacus: Sangre y arena,(2010–2013),18,55.0,8.5,NaN,242190.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
189,Spider-Man,(2002),A,121.0,7.4,73.0,813708.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
190,Spider-Man: No Way Home,(2021),7,148.0,8.3,71.0,740098.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
191,Spider-Man: Un nuevo universo,(2018),7,117.0,8.4,87.0,520990.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
192,Spirit Halloween,(2022),,87.0,4.5,48.0,603.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
193,Spy Kids 3: Game Over,(2003),PG,84.0,4.3,57.0,61001.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Star Trek,(2009),12,127.0,7.9,82.0,603590.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
195,Star Trek: Discovery,(2017– ),16,60.0,7.0,NaN,122804.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
196,Star Trek: Espacio Profundo Nueve,(1993–1999),13,45.0,8.1,NaN,63317.0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Star Trek: La nueva generación,(1987–1994),7,44.0,8.7,NaN,120437.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
198,Star Trek: Lower Decks,(2020– ),16,25.0,7.5,NaN,18099.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Star Trek: Picard,(2020–2023),18,46.0,7.3,NaN,71257.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
200,Star Trek: Strange New Worlds,(2022– ),16,52.0,8.2,NaN,28792.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
201,Star Trek: Voyager,(1995–2001),13,44.0,7.8,NaN,69444.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
202,Star Wars: El ascenso de Skywalker,(2019),12,141.0,6.5,53.0,448205.0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
203,Star Wars: Las crónicas de Jedi,(2022– ),6+,15.0,8.5,NaN,10332.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
204,Star Wars: The Clone Wars,(2008–2020),7,23.0,8.4,NaN,96273.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
205,Stardust,(2007),7,127.0,7.6,66.0,273097.0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
206,Stargate SG-1,(1997–2007),12,44.0,8.4,NaN,93666.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Stargirl,(2020–2022),12,566.0,7.2,NaN,18007.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
208,Super Mario Bros.: La película,(2023),PG,NaN,NaN,NaN,NaN,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Superman & Lois,(2021– ),12,42.0,7.8,NaN,32373.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
210,Terminator: Destino oscuro,(2019),16/fig,128.0,6.2,54.0,177836.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
211,The Flash,(2014–2023),7,43.0,7.6,NaN,345302.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,The Flash,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
213,The Guardians of the Galaxy: Holiday Special,(2022 TV Special),,NaN,NaN,NaN,NaN,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,The King's Man: La primera misión,(2021),16,131.0,6.3,44.0,144318.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
215,The Last of Us,(2023– ),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
216,The Mandalorian,(2019– ),12,40.0,8.7,NaN,471716.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
217,The Mummy (La momia),(1999),7,124.0,7.1,48.0,429553.0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
218,The Orville,(2017– ),12,44.0,8.0,NaN,86815.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,The Umbrella Academy,(2019–2023),16,60.0,7.9,NaN,246334.0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,The Winchesters,(2022– ),,42.0,6.7,NaN,3716.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,The Witcher,(2019– ),16,60.0,8.2,NaN,486971.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,The descent,(2005),18,99.0,7.2,71.0,226065.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
223,Thor: Love and Thunder,(2022),12,118.0,6.4,57.0,299293.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,Thunderbolts,(2024),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
225,Tiburón,(1975),14,124.0,8.1,87.0,603895.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
226,Titanes,(I) (2018– ),16,45.0,7.6,NaN,99178.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Todo a la vez en todas partes,(2022),12,139.0,8.1,81.0,230277.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Transformers,(2007),7,144.0,7.0,61.0,637014.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
229,Trece vidas,(2022),18,147.0,7.8,66.0,48236.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
230,Twister,(I) (1996),T,113.0,6.4,68.0,197346.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
231,Uncharted,(2022),12,116.0,6.3,45.0,196635.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Untitled Indiana Jones Project,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
233,Van Helsing,(2004),7,131.0,6.0,35.0,267512.0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
234,Vengadores: Endgame,(2019),7,181.0,8.4,78.0,1113723.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Vengadores: Infinity War,(2018),12,149.0,8.4,68.0,1066986.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
236,Vesper,(2022),,114.0,6.1,70.0,10040.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
237,Vikingos,(2013–2020),18,44.0,8.5,NaN,528781.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Vikingos: Valhalla,(2022– ),,51.0,7.2,NaN,38726.0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
239,Viuda Negra,(2021),12,134.0,6.7,67.0,373537.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
240,Wendell & Wild,(2022),12,105.0,6.6,69.0,3436.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,Willow,(2022– ),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
242,Wonder Woman,(2017),12,141.0,7.4,76.0,655197.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
243,Wonder Woman 1984,(2020),12,151.0,5.4,60.0,265766.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
244,X-Men,(2000),7,104.0,7.3,64.0,615295.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
245,Yo me encargo de la cerveza,(2022),16,126.0,6.8,39.0,13331.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,¡Canta! 2,(2021),A,110.0,7.4,49.0,67376.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,¡Shazam!,(2019),7,132.0,7.0,71.0,334717.0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,¿Quién es el topo?,(2022– ),7,45.0,7.9,NaN,1350.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
249,Érase una vez,(2011–2018),16,60.0,7.7,NaN,224571.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
