,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,I,MUSICAL,MYSTERY,NEWS,O,REALITY-TV,ROMANCE,S,SPORT,T,THRILLER,WAR,WESTERN
124,La emperatriz rebelde,(2022),,113.0,7.1,81.0,1162.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,La excavación,(2021),12,112.0,7.1,73.0,74868.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
126,La favorita,(2018),12,119.0,7.5,91.0,200278.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
127,La gran apuesta,(2015),12,130.0,7.8,81.0,429536.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,La gran evasión,(1963),18,172.0,8.2,86.0,244626.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
129,La guerra de Charlie Wilson,(2007),13,102.0,7.0,67.0,118995.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130,La guerra de Vietnam,(2017),,990.0,9.1,NaN,24841.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
131,La leyenda del samurái: 47 Ronin,(2013),12,128.0,6.2,28.0,160945.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
132,La lista de Schindler,(1993),12,195.0,9.0,94.0,1345989.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,La loca historia del mundo,(1981),,92.0,6.8,47.0,50090.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
134,La misión,(1986),13,125.0,7.4,55.0,61804.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
135,La muerte de Stalin,(2017),16,107.0,7.2,88.0,103565.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
136,La mujer rey,(2022),PG-13,135.0,6.7,77.0,25086.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,La noche más oscura,(2012),16,157.0,7.4,95.0,301221.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
138,La odisea,(1997),13,176.0,7.0,NaN,15097.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
139,La pandilla,(1992),T,121.0,6.9,46.0,21125.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
140,La princesa blanca,(2017),,60.0,7.5,NaN,13173.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
141,La reina Victoria,(2009),A,105.0,7.2,64.0,62678.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
142,La reina blanca,(2013),16,60.0,7.7,NaN,28260.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
143,La vuelta al mundo en 80 días,(2021– ),TP,60.0,7.1,NaN,9685.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
144,Las hermanas Bolena,(2008),A,115.0,6.7,50.0,113830.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
145,Last Week Tonight with John Oliver,(2014– ),18,30.0,8.9,NaN,88996.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
146,Leonardo,(2021– ),,409.0,7.2,NaN,3539.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
147,Lincoln,(2012),7,150.0,7.3,86.0,261117.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
148,Lo imposible,(2012),12,114.0,7.5,73.0,224468.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
149,Los Borgia,(2011–2013),16,50.0,7.9,NaN,51493.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
150,Los Bridgerton,(2020– ),16,60.0,7.4,NaN,135204.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
151,Los Médici: Señores de Florencia,(2016–2019),18,60.0,7.9,NaN,19471.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Los Tudor,(2007–2010),18,60.0,8.1,NaN,75285.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
153,Los archivos del Pentágono,(2017),7,116.0,7.2,83.0,151518.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
154,Los demonios,(1971),,111.0,7.8,49.0,16474.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
155,Los diez mandamientos,(1956),A,220.0,7.9,NaN,71387.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
156,Los misteriosos asesinatos de Miss Fisher,(2012–2015),7,60.0,8.3,NaN,16244.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
157,Los pilares de la Tierra,(2010),,60.0,8.0,NaN,31359.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
158,Los tres mosqueteros,(2011),7,110.0,5.7,35.0,108404.0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
159,Macbeth,(I) (2015),16,113.0,6.6,71.0,57156.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
160,Malcolm X,(1992),T,202.0,7.7,73.0,95126.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
161,Marco Polo,(2014–2016),16,60.0,8.0,NaN,73057.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
162,Marea negra,(2016),12,107.0,7.1,68.0,169542.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
163,María Antonieta (Marie Antoinette),(2006),A,123.0,6.5,65.0,112215.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
164,"María, reina de Escocia",(2018),12,124.0,6.3,60.0,50943.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
165,Mayday: Catástrofes aéreas,(2003– ),12,46.0,8.8,NaN,4981.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
166,Medianoche en el Pera Palace,(2022– ),12,45.0,7.0,NaN,8252.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
167,Medieval,(2022),R,126.0,5.9,48.0,2951.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Midway,(2019),12,138.0,6.7,47.0,85887.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
169,Monuments Men,(2014),7,118.0,6.1,52.0,132562.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
170,Mr. Sunshine,(2018),16,80.0,8.7,NaN,7821.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
171,Mr. Wain,(2021),7,111.0,6.8,63.0,14486.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
172,Múnich,(2005),18,164.0,7.5,74.0,227717.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
173,Múnich en vísperas de una guerra,(2021),12,130.0,6.8,53.0,30533.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
174,Napoleon,,,NaN,NaN,NaN,NaN,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
175,Norsemen,(2016–2020),16,30.0,7.7,NaN,18949.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
176,Nuestra bandera significa muerte,(2022– ),16,30.0,7.8,NaN,25543.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
177,Ocho hombres,(1988),,119.0,7.2,71.0,20706.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
178,Operation Seawolf,(2022),,87.0,3.2,NaN,219.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
179,Oppenheimer,(2023),,NaN,NaN,NaN,NaN,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Ottoman Rising,(2020),16,44.0,7.9,NaN,23135.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
181,Our Friends in the North,(1996),,623.0,8.6,NaN,2029.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
182,Pearl Harbor,(2001),7,183.0,6.2,44.0,333139.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
183,Perdidos en el Ártico,(2022),12,102.0,6.5,49.0,22513.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
184,Perry Mason,(2020– ),16,60.0,7.5,NaN,19337.0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
185,Playa de China,(1988–1991),,120.0,8.2,NaN,3067.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
186,Pompeya,(I) (2014),12,105.0,5.5,39.0,112087.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
187,Ponniyin Selvan: Part One,(2022),,167.0,8.2,NaN,26026.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Pride/Orgullo,(I) (2014),7/fig,119.0,7.8,79.0,57606.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
189,Ratched,(2020– ),16,60.0,7.3,NaN,57745.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Raíces,(1977),,588.0,8.4,NaN,17677.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
191,Resistencia,(I) (2008),12,137.0,7.1,58.0,148807.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
192,Robin Hood,(2010),7,140.0,6.6,53.0,270256.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Roma,(2005–2007),18,52.0,8.7,NaN,171715.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Rompiendo las normas,(2020),7/fig,106.0,6.3,62.0,8935.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
195,Romulus,(2020– ),12,NaN,7.0,NaN,2113.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
196,Shakespeare in Love (Shakespeare enamorado),(1998),A,123.0,7.1,87.0,225631.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
197,Sharpe,(1993–2008),,NaN,8.4,NaN,1412.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
198,Siete años en el Tíbet,(1997),13,136.0,7.1,55.0,145089.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
199,Silencio,(I) (2016),16,161.0,7.1,79.0,113365.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
200,Sisi,(2021– ),,60.0,6.7,NaN,1473.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
201,Six,(2017–2018),16,60.0,7.2,NaN,12865.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
202,Spartacus: Dioses de la arena,(2011),18,331.0,8.5,NaN,137935.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
203,Spartacus: Sangre y arena,(2010–2013),18,55.0,8.5,NaN,242190.0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Straight Outta Compton,(2015),16,147.0,7.8,72.0,202498.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
205,TURN: Espías de Washington,(2014–2017),,60.0,8.1,NaN,21987.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
206,Testamento de juventud,(2014),7,129.0,7.2,76.0,29149.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
207,The Chosen,(2017– ),,54.0,9.4,NaN,27761.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,The Crown,(2016– ),13,58.0,8.7,NaN,206196.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,The First Lady,(2022),16,60.0,7.0,NaN,4559.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
210,The Great,(2020– ),16,45.0,8.2,NaN,42112.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,The King,(I) (2019),16,140.0,7.3,62.0,129330.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,The Knick,(2014–2015),16,58.0,8.5,NaN,48896.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
213,The Last Kingdom,(2015–2022),16,60.0,8.5,NaN,139056.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,The Looming Tower,(2018),16,492.0,8.0,NaN,15371.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
215,The Outpost,(2019),16,123.0,6.8,71.0,34877.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
216,The Pacific,(2010),18,530.0,8.3,NaN,112550.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
217,The Real Anthony Fauci,(2022),,111.0,6.8,NaN,450.0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,The Red Sea Diving Resort,(2019),16,129.0,6.6,NaN,29710.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
219,The Report,(I) (2019),16,119.0,7.2,66.0,43962.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
220,The Son,(2017–2019),16,44.0,7.5,NaN,6533.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
221,The Spanish Princess,(2019–2020),16,55.0,6.9,NaN,8659.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
222,The White House Plumbers,(2023– ),,NaN,NaN,NaN,NaN,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
223,The legend of Maula Jatt,(2022),,153.0,8.9,NaN,7546.0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,This England,(2022),,52.0,6.6,NaN,928.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
225,Tiempos de gloria,(1989),13,122.0,7.8,78.0,135587.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
226,Todas somos Jane,(2022),R,121.0,6.8,64.0,835.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Todos los hombres del presidente,(1976),14,138.0,7.9,84.0,116230.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
228,Togo,(2019),6+,113.0,7.9,69.0,49138.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
229,Tombstone: La leyenda de Wyatt Earp,(1993),18,130.0,7.8,50.0,149607.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,Trece días,(2000),7,145.0,7.3,67.0,59253.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
231,Troya,(2004),13,163.0,7.3,56.0,534371.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Un escándalo muy británico,(2021),16,177.0,7.0,NaN,5648.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
233,Una historia real,(I) (2015),12,99.0,6.3,50.0,69230.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
234,Una sombra en mi ojo,(2021),16,107.0,7.3,NaN,11572.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
235,Valkiria,(2008),13,121.0,7.1,56.0,245442.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
236,Vanity Fair,(2018),7,60.0,7.3,NaN,5022.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
237,Versailles,(2015–2018),16,52.0,7.9,NaN,16914.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
238,Victoria,(2016–2019),TP,60.0,8.2,NaN,27653.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
239,Vienna Blood,(2019– ),12,90.0,7.5,NaN,5926.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
240,Vikingos,(2013–2020),18,44.0,8.5,NaN,528781.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,Vikingos: Valhalla,(2022– ),,51.0,7.2,NaN,38726.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Vinland Saga,(2019– ),Not Rated,24.0,8.8,NaN,38172.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
243,War Horse (Caballo de batalla),(2011),7,146.0,7.2,72.0,158038.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
244,Warrior,(2019– ),16,60.0,8.4,NaN,26510.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
245,Wolf Hall,(2015),,360.0,8.1,NaN,11621.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
246,"Z, la ciudad perdida",(2016),12,141.0,6.6,78.0,91873.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
247,¡Llama a la comadrona!,(2012– ),16,60.0,8.6,NaN,26950.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Ágora,(2009),13,127.0,7.1,55.0,70202.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
249,Ámsterdam,(2022),12,134.0,6.2,48.0,14036.0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
