,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,MUSICAL,MYSTERY,O,R,REALITY-TV,ROMANCE,SCI-FI,SHORT,THRILLER
0,13 fantasmas,(2001),13,91.0,5.6,30.0,88264.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,1408,(2007),PG-13,104.0,6.8,64.0,275121.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
2,1899,(2022– ),,60.0,9.1,NaN,1895.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
3,28 días después,(2002),18,113.0,7.5,73.0,414733.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
4,28 días paranormales,(2022– ),,30.0,3.4,NaN,1620.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
5,A serbian film,(2010),(Banned),104.0,5.0,NaN,64956.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
6,Abandoned,(III) (2022),PG-13,102.0,3.7,38.0,1245.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
7,Abierto hasta el amanecer,(1996),18,108.0,7.2,48.0,315164.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
8,"Alien, el octavo pasajero",(1979),16,117.0,8.5,89.0,877043.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
9,American Horror Stories,(2021– ),18,45.0,6.2,NaN,21550.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
10,American Horror Story,(2011– ),18,60.0,8.0,NaN,317039.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
11,American Psycho,(2000),18,102.0,7.6,64.0,608609.0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
12,Antlers: Criatura oscura,(2021),16,99.0,5.9,57.0,38016.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
13,Ataque a los titanes,(2013–2023),16,24.0,9.0,NaN,368039.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,Babadook,(2014),16,94.0,6.8,86.0,225172.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
15,Barbarian,(2022),R,102.0,7.2,78.0,55031.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
16,Bates Motel,(2013–2017),16,45.0,8.1,NaN,108232.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
17,Beetlejuice 2,,,NaN,NaN,NaN,NaN,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
18,Black Phone,(2021),16,103.0,7.0,65.0,127515.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
19,Blade,(1998),18,120.0,7.1,47.0,275341.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
20,Bodies Bodies Bodies,(2022),R,94.0,6.3,69.0,25929.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
21,"Buenas noches, mamá",(2022),R,92.0,5.6,45.0,8277.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
22,"Buffy, la cazavampiros",(1992),13,86.0,5.6,48.0,45518.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
23,Candyman,(2021),16,91.0,5.9,72.0,65380.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
24,"Candyman, el dominio de la mente",(1992),18,99.0,6.7,61.0,92360.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
25,Carrie,(1976),18,98.0,7.4,85.0,188732.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
26,Casa Búho,(2020–2023),TP,22.0,8.3,NaN,11843.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,Cerdita,(2022),16,99.0,6.2,78.0,2657.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
28,Chainsaw Man,(2022– ),,NaN,8.9,NaN,8795.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,Christine,(1983),13,110.0,6.7,57.0,84316.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
30,Chucky,(2021– ),18,42.0,7.3,NaN,19871.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
31,Constantine,(2005),18,121.0,7.0,50.0,347156.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
32,Crímenes del futuro,(2022),18,107.0,5.9,67.0,24912.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
33,Crónicas vampíricas,(2009–2017),16,43.0,7.7,NaN,320567.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
34,"Dahmer, el carnicero de Milwaukee",(2002),18,101.0,5.6,63.0,11034.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,Deadstream,(2022),,87.0,6.6,67.0,5768.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
36,Depredador,(1987),18,107.0,7.8,47.0,422874.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
37,Destino final,(2000),13,98.0,6.7,36.0,256874.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
38,Destino final 2,(2003),13,90.0,6.2,38.0,168560.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
39,Destino final 3,(2006),18,93.0,5.8,41.0,143474.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
40,Doctor Strange en el multiverso de la locura,(2022),12,126.0,6.9,60.0,399981.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
41,Doctor Sueño,(2019),16,152.0,7.3,59.0,192544.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
42,Drácula 2001,(2000),13,99.0,4.9,26.0,34357.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
43,Drácula de Bram Stoker,(1992),18,128.0,7.4,57.0,218491.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
44,Drácula: La leyenda jamás contada,(2014),16,92.0,6.2,40.0,196315.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
45,Déjame entrar,(2008),13,114.0,7.9,82.0,217963.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
46,Déjame salir,(I) (2017),16,104.0,7.7,85.0,602285.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
47,El Espíritu de Bridge Hollow,(2022),12,89.0,5.6,38.0,7313.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
48,El abismo del infierno,(2022),16,91.0,5.6,NaN,1963.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
49,El club de la medianoche,(2022– ),16,60.0,6.6,NaN,17660.0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
50,El diablo en Ohio,(2022),16,356.0,5.9,NaN,13424.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
51,El ejército de las tinieblas,(1992),18,81.0,7.4,59.0,179126.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
52,El exorcista,(1973),13,122.0,8.1,81.0,406570.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
53,El faro,(I) (2019),16,109.0,7.4,83.0,215485.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
54,El gabinete de curiosidades de Guillermo del Toro,(2022– ),18,60.0,7.5,NaN,13581.0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
55,El juego de Gerald,(2017),16,103.0,6.5,77.0,110721.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
56,El menú,(2022),R,106.0,7.5,73.0,730.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
57,El proyecto de la bruja de Blair,(1999),13,81.0,6.5,81.0,262471.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
58,El resplandor,(1980),16,146.0,8.4,66.0,1014445.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
59,El retorno de las brujas,(1993),7,96.0,6.9,43.0,141290.0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
60,El rostro de la muerte,(1976),,83.0,6.4,67.0,11712.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
61,El teléfono del señor Harrigan,(2022),12,104.0,6.0,55.0,22855.0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
62,Entrevista con el Vampiro,(2022– ),,NaN,6.7,NaN,7845.0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
63,Entrevista con el vampiro,(1994),18,123.0,7.5,59.0,324422.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
64,Evil,(2019– ),16,42.0,7.7,NaN,26819.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
65,Expediente Warren: El caso Enfield,(2016),16,134.0,7.3,65.0,270718.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
66,Expediente Warren: Obligado por el demonio,(2021),16,112.0,6.3,53.0,114700.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
67,Expediente Warren: The Conjuring,(2013),16,112.0,7.5,68.0,507105.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
68,Fear the Walking Dead,(2015– ),16,44.0,6.8,NaN,129724.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
69,Feed Me,(2022),,96.0,4.7,NaN,219.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
70,Fresh,(2022),18,114.0,6.7,67.0,52433.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
71,From,(2022– ),,52.0,7.6,NaN,20298.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
72,Gremlins,(1984),12,106.0,7.3,70.0,224699.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
73,Grimcutty: Asesino implacable,(2022),16,101.0,4.3,NaN,4428.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
74,Grimm,(2011–2017),16,45.0,7.8,NaN,120145.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
75,Halloween 2,(2009),16,105.0,4.8,35.0,55908.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
76,Halloween 2: Sanguinario,(1981),18,92.0,6.5,40.0,92827.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
77,Halloween 4: El regreso de Michael Myers,(1988),18,88.0,5.8,34.0,53905.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
78,Halloween 5: La venganza de Michael Myers,(1989),18,96.0,4.9,28.0,43126.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
79,Halloween III: El día de la bruja,(1982),18,98.0,5.1,50.0,55310.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
80,Halloween Kills,(2021),18,105.0,5.5,42.0,85343.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
81,Halloween: El final,(2022),18,111.0,5.0,47.0,45066.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
82,Halloween: El origen,(2007),18,109.0,6.0,47.0,122970.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
83,Halloween: H20. 20 años después,(1998),18,86.0,5.8,52.0,76697.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
84,Halloween: La maldición de Michael Myers,(1995),18,87.0,4.7,10.0,38276.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
85,Halloween: Resurrection,(2002),18,94.0,3.9,19.0,45434.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
86,Hannibal,(2013–2015),18,44.0,8.5,NaN,254716.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
87,Hasta los huesos: Bones and All,(2022),R,130.0,7.0,75.0,948.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
88,Hellraiser,(2022),R,121.0,6.0,56.0,28907.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
89,Hellraiser: Los que traen el infierno,(1987),18,94.0,6.9,56.0,127753.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
90,Hereditary,(2018),16,127.0,7.3,87.0,312818.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
91,Historias de miedo para contar en la oscuridad,(2019),16,108.0,6.2,61.0,77228.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
92,Horizonte Final,(1997),13,96.0,6.6,35.0,181547.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
93,Hostel,(2005),18,94.0,5.9,55.0,181459.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
94,Hotel Transilvania,(2012),A/i,91.0,7.0,47.0,256177.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,In the Dark,(2019–2022),X,42.0,7.5,NaN,13084.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
96,Insidious,(I) (2010),16,103.0,6.8,52.0,309537.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
97,It,(1990),13,192.0,6.8,NaN,129533.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
98,It,(I) (2017),16,135.0,7.3,69.0,544005.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
99,It Follows,(2014),16,100.0,6.8,83.0,242711.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
100,It: Capítulo 2,(2019),18,169.0,6.5,58.0,264159.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
101,Jaula,(2022),16,106.0,6.1,NaN,2251.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
102,Jeepers Creepers,(2001),13,90.0,6.2,49.0,130254.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
103,Jeepers Creepers: Reborn,(2022),R,88.0,2.5,NaN,6581.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
104,Jennifer's Body,(2009),13,102.0,5.4,47.0,135987.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
105,Jóvenes ocultos,(1987),13,97.0,7.2,63.0,144999.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
106,Jóvenes y brujas,(1996),13,101.0,6.4,55.0,95323.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
107,La bestia,(I) (2022),12,93.0,5.6,54.0,21403.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
108,La bruja,(2015),16,92.0,6.9,83.0,261179.0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
109,La cabaña en el bosque,(2011),16,95.0,7.0,72.0,418013.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
110,La calle del terror - Parte 1: 1994,(2021),16,107.0,6.2,67.0,81384.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
111,La casa de cera,(2005),R,113.0,5.4,41.0,125542.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
112,La casa de los 1000 cadáveres,(2003),18,89.0,6.0,31.0,87150.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
113,La casa oscura,(2020),16,107.0,6.5,68.0,52931.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
114,La cosa (El enigma de otro mundo),(1982),13,109.0,8.2,57.0,423559.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
115,La cumbre escarlata,(2015),16,119.0,6.5,66.0,148966.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
116,La dimensión desconocida,(1959–1964),13,51.0,9.1,NaN,83490.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
117,La familia Addams,(2019),7,86.0,5.8,46.0,39741.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
118,La huérfana,(2009),18,123.0,7.0,42.0,230584.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
119,La huérfana: primer asesinato,(2022),16,99.0,5.9,54.0,28551.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
120,La invitación,(II) (2022),12,105.0,5.2,45.0,12546.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
121,La maldición de Bly Manor,(2020),16,494.0,7.3,NaN,104890.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
