,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,H,HISTORY,HORROR,MUSIC,MUSICAL,MYSTERY,NEWS,O,R,ROMANCE,S,SCI-FI,SHORT,SPORT,T,THRILLER,WESTERN
124,Los Croods: árbol genealógico,(2021– ),,22.0,6.8,NaN,2885.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
125,Los Pitufos,(2021– ),,12.0,6.5,NaN,161.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
126,Los descendientes: La boda real,(2021 TV Special),,22.0,5.8,NaN,463.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
127,Los pingüinos de Madagascar,(2008–2015),TP,11.0,7.5,NaN,19072.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
128,"Love, Death & Robots",(2019– ),18,15.0,8.4,NaN,167469.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
129,Mia,(XI) (2017),,11.0,6.7,NaN,358.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
130,Mickey Mouse,(2013–2019),,4.0,8.1,NaN,3264.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
131,Mickey Mouse Funhouse,(2021– ),,11.0,5.4,NaN,188.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
132,Mickey y los superpilotos,(2017–2021),,21.0,6.0,NaN,604.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
133,Monster,(I) (2005),,10.0,6.8,NaN,1166.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
134,Mortal Kombat,(2011–2013),,10.0,7.3,NaN,9861.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
135,Most Dangerous Game,(2020– ),18,7.0,6.6,NaN,11711.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
136,Más allá del jardín,(2014),TP,22.0,8.8,NaN,56366.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
137,Nande Koko ni Sensei ga!?,(2019– ),,12.0,6.3,NaN,1504.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
138,Need,(2008),,32.0,7.3,NaN,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
139,Nude Gardening Day,(2013 Video),,NaN,5.6,NaN,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
140,Nudisten,(2010),,14.0,5.7,NaN,167.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
141,O Holy Ghost,(2019),,15.0,8.2,NaN,11.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
142,Oculus: Chapter 3 - The Man with the Plan,(2006),,32.0,6.3,NaN,800.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
143,One Red Nose Day and a Wedding,(2019 TV Short),,12.0,6.6,NaN,718.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
144,Ostatnia Wieczerza,(2019),,13.0,5.0,NaN,30.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
145,PG Porn,(2008–2009),16,5.0,7.6,NaN,1509.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
146,Peaky Blinders: The King's Ransom,(2022 Video Game),,30.0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
147,Perdona nuestras ofensas,(I) (2022),16,13.0,6.4,NaN,1626.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
148,Phineas y Ferb,(2007–2015),TP,15.0,8.1,NaN,46807.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
149,Picture Palace,(1934),,21.0,5.6,NaN,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
150,Pinky y Cerebro,(1995–1998),,30.0,7.8,NaN,30711.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
151,Pirates of the Caribbean: Tales of the Code: Wedlocked,(2011),,10.0,6.7,NaN,3455.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
152,Pleasure,(2013),,15.0,5.5,NaN,437.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
153,Possibly in Michigan,(1983),,12.0,7.4,NaN,943.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
154,Prada Paradoxe,(2022),,2.0,7.6,NaN,38.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
155,Princess Rap Battle,(2014– ),,2.0,8.1,NaN,554.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
156,Ratatoing,(2007 Video),,44.0,1.7,NaN,2180.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
157,Red Nose Day Actually,(2017 TV Short),,15.0,7.1,NaN,6137.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
158,Reunión familiar,(2019–2022),7,28.0,6.5,NaN,2865.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
159,Rick and Morty: C-132,(2021),,1.0,9.1,NaN,64.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
160,Robot Chicken,(2001– ),18,11.0,7.7,NaN,43528.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
161,Rocket Power,(1999–2004),,30.0,6.8,NaN,9743.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
162,Rugrats,(2021– ),,23.0,4.0,NaN,1275.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
163,Russia 1985-1999: TraumaZone,(2022),,NaN,8.7,NaN,194.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
164,Salad Days,(II) (2019),,39.0,8.2,NaN,10.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
165,Saw,(2003),,9.0,7.4,NaN,11463.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
166,Secret Escort,(2019),,45.0,2.8,NaN,55.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
167,She Hulk,(2008),,9.0,1.6,NaN,287.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
168,Shreky movie,(2010 TV Short),,26.0,6.7,NaN,5335.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
169,"Si me pasara algo, os quiero",(2020),PG,13.0,7.8,NaN,16864.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
170,Silent Hill Restless Dreams,(2021),,33.0,7.0,NaN,157.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
171,Six Shooter,(2004),,27.0,7.4,NaN,12687.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
172,Smiling Friends,(2020– ),,12.0,8.5,NaN,9143.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
173,Something's Got to Give,(1962),,37.0,NaN,NaN,NaN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
174,Sonic Boom,(2014–2017),A,11.0,6.8,NaN,6353.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
175,Sons of Anarchy Season 1: The Bikes,(2009 Video),,7.0,8.3,NaN,5356.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
176,Stable,,,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
177,Star Trek: Short Treks,(2018–2020),,10.0,7.0,NaN,2683.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
178,Star Wars: Episode V - The Empire Strikes Back: Deleted Scenes,(2011 Video),,12.0,8.8,NaN,17950.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
179,Star Wars: Las crónicas de Jedi,(2022– ),6+,15.0,8.5,NaN,10332.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
180,Star contra las fuerzas del mal,(2015–2019),TP,22.0,8.0,NaN,15346.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
181,Stargate Origins,(2018),,10.0,3.9,NaN,5533.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
182,Stark Industries,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
183,State of the Union,(2019–2022),12,10.0,7.8,NaN,5715.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
184,Stripped,(I) (2016),,12.0,6.4,NaN,559.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
185,Survive,(2020),,7.0,5.9,NaN,1489.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
186,Talking Tom and Friends,(2014–2021),,11.0,5.9,NaN,478.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
187,Taylor Swift: Bad Blood,(2015 Music Video),,4.0,7.3,NaN,3853.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
188,Teen Titans Go!,(2013– ),7,10.0,5.4,NaN,21682.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
189,Terrifier,(2011),,20.0,6.8,NaN,1450.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
190,Thanksgiving,(II) (2007),,2.0,7.7,NaN,736.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
191,The 9th Circle,(2008),,11.0,5.6,NaN,411.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
192,The Audition,(III) (2015),,16.0,6.6,NaN,3638.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
193,The Batman: Deleted Arkham Scene,(2022 Video),,5.0,8.2,NaN,15196.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
194,The Boys: Diabolical,(2022– ),16,14.0,6.9,NaN,12866.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
195,The Casagrandes,(2019–2022),,22.0,5.7,NaN,1394.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
196,The Chalk Line,(1916),,NaN,NaN,NaN,NaN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
197,The Daily Bugle,(2019– ),,1.0,6.4,NaN,211.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
198,The Guild,(2007–2013),,4.0,8.2,NaN,10150.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
199,The Hidebehind,(2018),,10.0,6.5,NaN,184.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
200,The Hitman's Bodyguard: Dangerous Women,(2017 Video),,9.0,6.8,NaN,14487.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
201,The Hitman's Bodyguard: The Hitman vs. The Bodyguard,(2017 Video),,5.0,6.9,NaN,17221.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
202,The Hobbit: The Battle of Five Armies - New Zealand: Home of Middle-Earth - Part 3,(2015 Video),,7.0,7.5,NaN,23523.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
203,The Looney Tunes Show,(2011–2015),A,23.0,7.5,NaN,15827.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
204,The Nice Guys: Word of the Day,(2017),,1.0,7.6,NaN,8487.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
205,The Nun 2,(2019),,10.0,5.3,NaN,274.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
206,The Originals: Awakening,(2014),,2.0,8.5,NaN,3242.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
207,The Peripheral,(III) (2014),,12.0,8.0,NaN,26.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
208,The Real,(I) (2013–2022),,42.0,4.6,NaN,1436.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
209,The Sandman,(2020 Podcast Series),,NaN,9.4,NaN,1440.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
210,The Sands Between,(2021),,4.0,6.6,NaN,164.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
211,The Stranger,(II) (2020),,8.0,6.3,NaN,1357.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
212,The Tell-Tale Heart,(I) (2008),,21.0,6.6,NaN,273.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
213,The Tiny Chef Show,(2022– ),,NaN,6.4,NaN,51.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
214,The Turbo Charged Prelude for 2 Fast 2 Furious,(2003 Video),,6.0,6.0,NaN,4658.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
215,The Walking Dead: Webisodes,(2011–2018),,15.0,7.7,NaN,4891.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
216,The War of the Worlds 2021,(2021 Video),,8.0,2.0,NaN,483.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
217,Thomas & Friends: All Engines Go,(2021– ),,30.0,2.2,NaN,625.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
218,Thomas y sus amigos,(1984–2021),,11.0,6.5,NaN,5294.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
219,Threat Level Midnight: The Movie,(2019 TV Short),,25.0,9.6,NaN,8050.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
220,To My Star,(2021–2022),,NaN,8.1,NaN,1460.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
221,Tom and Jerry,(1940–1968),,8.0,9.0,NaN,5084.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
222,Tome of the Unknown,(2013),,9.0,8.0,NaN,1368.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
223,Too Many Cooks,(2014 TV Short),,11.0,8.4,NaN,4675.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
224,Top 10 Adult Cartoons (Uncensored Cut),(2015 TV Special),,NaN,9.1,NaN,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
225,Tourism Australia: Dundee - The Son of a Legend Returns Home,(2018 Video),,3.0,7.9,NaN,1807.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
226,Toy Story: ¡Terror!,(2013 TV Short),,22.0,7.5,NaN,16137.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
227,Transformers: Prime,(2010–2013),,30.0,7.9,NaN,6847.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
228,Un perro andaluz,(1929),18,16.0,7.7,NaN,50405.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
229,Una casa de locos,(2014– ),7,22.0,7.0,NaN,6699.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
230,Unforgotten: Body in a Suitcase,(2017 Video),,2.0,8.4,NaN,3430.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
231,Unidad de Rescate,(2022– ),,23.0,6.9,NaN,46.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
232,Vampirina,(2017–2021),,25.0,6.5,NaN,876.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
233,Viaje a la Luna,(1902),,13.0,8.2,NaN,50141.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
234,Vikings Season 3: Heavy Is the Head -The Politics of King Ragnar's Rule,(2015 Video),,NaN,9.0,NaN,4811.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
235,Vikings: The Viking Sagas,(2014 Video),,NaN,8.7,NaN,10168.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
236,Villainous,(2017–2021),,11.0,7.6,NaN,613.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
237,Vincent,(1982),13,6.0,8.3,NaN,23359.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
238,Vindicators 2,(2022– ),,NaN,7.0,NaN,237.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
239,Vlihi,(2022),,30.0,7.9,NaN,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
240,Wake Up,(II) (2020),,11.0,6.1,NaN,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
241,Wallace y Gromit: Los pantalones equivocados,(1993),T,29.0,8.3,NaN,54581.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
242,Werewolf Women of the S.S.,(2007),,2.0,7.4,NaN,761.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
243,Whiplash,(2013),,18.0,7.8,NaN,5375.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
244,Wow! Wow! Wubbzy!,(2006–2022),,25.0,6.2,NaN,1365.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
245,"Yes, God, Yes",(2017),,11.0,6.3,NaN,1789.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
246,Yo soy Groot,(2022– ),12,4.0,6.7,NaN,26560.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
247,Zootopia+,(2022– ),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
248,judy justicia,(2021– ),,NaN,7.1,NaN,3169.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
249,¡La serie de Cuphead!,(2022– ),0+,12.0,7.4,NaN,7669.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
